VREF,IREF,VDD,IDD
+0.000000E+00,-1.770305E-05,+1.800000E+00,+6.146140E-05
+1.000000E-03,-1.770204E-05,+1.800000E+00,+6.134580E-05
+2.000000E-03,-1.770196E-05,+1.800000E+00,+6.126510E-05
+3.000000E-03,-1.771277E-05,+1.800000E+00,+6.121919E-05
+4.000000E-03,-1.770936E-05,+1.800000E+00,+6.114709E-05
+5.000000E-03,-1.771073E-05,+1.800000E+00,+6.111513E-05
+6.000000E-03,-1.770854E-05,+1.800000E+00,+6.107528E-05
+7.000000E-03,-1.770324E-05,+1.800000E+00,+6.103518E-05
+8.000000E-03,-1.771046E-05,+1.800000E+00,+6.101610E-05
+9.000000E-03,-1.770670E-05,+1.800000E+00,+6.097620E-05
+1.000000E-02,-1.770825E-05,+1.800000E+00,+6.094855E-05
+1.100000E-02,-1.771371E-05,+1.800000E+00,+6.095480E-05
+1.200000E-02,-1.770496E-05,+1.800000E+00,+6.090312E-05
+1.300000E-02,-1.770568E-05,+1.800000E+00,+6.089246E-05
+1.400000E-02,-1.770123E-05,+1.800000E+00,+6.085026E-05
+1.500000E-02,-1.769576E-05,+1.800000E+00,+6.084560E-05
+1.600000E-02,-1.769557E-05,+1.800000E+00,+6.083021E-05
+1.700000E-02,-1.769680E-05,+1.800000E+00,+6.082647E-05
+1.800000E-02,-1.769808E-05,+1.800000E+00,+6.080826E-05
+1.900000E-02,-1.769770E-05,+1.800000E+00,+6.079721E-05
+2.000000E-02,-1.769384E-05,+1.800000E+00,+6.079091E-05
+2.100000E-02,-1.769559E-05,+1.800000E+00,+6.078184E-05
+2.200000E-02,-1.769450E-05,+1.800000E+00,+6.076845E-05
+2.300000E-02,-1.769362E-05,+1.800000E+00,+6.076844E-05
+2.400000E-02,-1.770368E-05,+1.800000E+00,+6.078002E-05
+2.500000E-02,-1.769418E-05,+1.800000E+00,+6.075714E-05
+2.600000E-02,-1.770003E-05,+1.800000E+00,+6.075852E-05
+2.700000E-02,-1.769072E-05,+1.800000E+00,+6.073555E-05
+2.800000E-02,-1.769208E-05,+1.800000E+00,+6.073751E-05
+2.900000E-02,-1.768152E-05,+1.800000E+00,+6.071772E-05
+3.000000E-02,-1.769599E-05,+1.800000E+00,+6.074079E-05
+3.100000E-02,-1.769796E-05,+1.800000E+00,+6.073876E-05
+3.200000E-02,-1.769488E-05,+1.800000E+00,+6.073116E-05
+3.300000E-02,-1.769396E-05,+1.800000E+00,+6.072140E-05
+3.400000E-02,-1.769875E-05,+1.800000E+00,+6.072996E-05
+3.500000E-02,-1.769327E-05,+1.800000E+00,+6.071634E-05
+3.600000E-02,-1.769173E-05,+1.800000E+00,+6.069662E-05
+3.700000E-02,-1.768427E-05,+1.800000E+00,+6.067149E-05
+3.800000E-02,-1.768353E-05,+1.800000E+00,+6.067332E-05
+3.900000E-02,-1.768210E-05,+1.800000E+00,+6.067580E-05
+4.000000E-02,-1.768333E-05,+1.800000E+00,+6.066571E-05
+4.100000E-02,-1.769087E-05,+1.800000E+00,+6.069079E-05
+4.200000E-02,-1.769559E-05,+1.800000E+00,+6.070579E-05
+4.300000E-02,-1.769278E-05,+1.800000E+00,+6.068180E-05
+4.400000E-02,-1.769221E-05,+1.800000E+00,+6.068252E-05
+4.500000E-02,-1.768387E-05,+1.800000E+00,+6.065642E-05
+4.600000E-02,-1.769162E-05,+1.800000E+00,+6.066911E-05
+4.700000E-02,-1.768412E-05,+1.800000E+00,+6.065348E-05
+4.800000E-02,-1.768353E-05,+1.800000E+00,+6.066019E-05
+4.900000E-02,-1.769186E-05,+1.800000E+00,+6.067072E-05
+5.000000E-02,-1.769348E-05,+1.800000E+00,+6.067336E-05
+5.100000E-02,-1.769589E-05,+1.800000E+00,+6.067291E-05
+5.200000E-02,-1.769304E-05,+1.800000E+00,+6.067266E-05
+5.300000E-02,-1.768989E-05,+1.800000E+00,+6.063966E-05
+5.400000E-02,-1.768533E-05,+1.800000E+00,+6.064332E-05
+5.500000E-02,-1.768473E-05,+1.800000E+00,+6.063725E-05
+5.600000E-02,-1.768753E-05,+1.800000E+00,+6.065201E-05
+5.700000E-02,-1.768201E-05,+1.800000E+00,+6.062582E-05
+5.800000E-02,-1.767919E-05,+1.800000E+00,+6.062535E-05
+5.900000E-02,-1.768054E-05,+1.800000E+00,+6.061612E-05
+6.000000E-02,-1.768592E-05,+1.800000E+00,+6.063710E-05
+6.100000E-02,-1.768006E-05,+1.800000E+00,+6.061255E-05
+6.200000E-02,-1.768187E-05,+1.800000E+00,+6.061695E-05
+6.300000E-02,-1.767614E-05,+1.800000E+00,+6.060964E-05
+6.400000E-02,-1.767739E-05,+1.800000E+00,+6.061303E-05
+6.500000E-02,-1.768206E-05,+1.800000E+00,+6.061724E-05
+6.600000E-02,-1.768329E-05,+1.800000E+00,+6.062171E-05
+6.700000E-02,-1.767758E-05,+1.800000E+00,+6.060589E-05
+6.800000E-02,-1.767764E-05,+1.800000E+00,+6.060721E-05
+6.900000E-02,-1.767744E-05,+1.800000E+00,+6.060917E-05
+7.000000E-02,-1.767968E-05,+1.800000E+00,+6.061927E-05
+7.100000E-02,-1.768391E-05,+1.800000E+00,+6.061984E-05
+7.200000E-02,-1.767531E-05,+1.800000E+00,+6.060302E-05
+7.300000E-02,-1.768423E-05,+1.800000E+00,+6.062313E-05
+7.400000E-02,-1.768743E-05,+1.800000E+00,+6.063031E-05
+7.500000E-02,-1.768757E-05,+1.800000E+00,+6.062883E-05
+7.600000E-02,-1.767451E-05,+1.800000E+00,+6.059901E-05
+7.700000E-02,-1.767666E-05,+1.800000E+00,+6.059621E-05
+7.800000E-02,-1.767196E-05,+1.800000E+00,+6.057728E-05
+7.900000E-02,-1.768015E-05,+1.800000E+00,+6.061733E-05
+8.000000E-02,-1.768741E-05,+1.800000E+00,+6.062365E-05
+8.100000E-02,-1.768443E-05,+1.800000E+00,+6.060830E-05
+8.200000E-02,-1.768733E-05,+1.800000E+00,+6.061990E-05
+8.300000E-02,-1.768554E-05,+1.800000E+00,+6.062469E-05
+8.400000E-02,-1.768493E-05,+1.800000E+00,+6.060655E-05
+8.500000E-02,-1.768491E-05,+1.800000E+00,+6.061030E-05
+8.600000E-02,-1.768119E-05,+1.800000E+00,+6.061200E-05
+8.700000E-02,-1.768407E-05,+1.800000E+00,+6.062253E-05
+8.800000E-02,-1.767370E-05,+1.800000E+00,+6.057903E-05
+8.900000E-02,-1.767291E-05,+1.800000E+00,+6.057350E-05
+9.000000E-02,-1.767478E-05,+1.800000E+00,+6.056462E-05
+9.100000E-02,-1.767374E-05,+1.800000E+00,+6.057355E-05
+9.200000E-02,-1.767406E-05,+1.800000E+00,+6.058520E-05
+9.300000E-02,-1.767203E-05,+1.800000E+00,+6.057453E-05
+9.400000E-02,-1.766933E-05,+1.800000E+00,+6.056149E-05
+9.500000E-02,-1.767821E-05,+1.800000E+00,+6.058400E-05
+9.600000E-02,-1.768331E-05,+1.800000E+00,+6.059020E-05
+9.700000E-02,-1.767647E-05,+1.800000E+00,+6.059323E-05
+9.800000E-02,-1.767118E-05,+1.800000E+00,+6.056911E-05
+9.900000E-02,-1.766601E-05,+1.800000E+00,+6.056712E-05
+1.000000E-01,-1.767235E-05,+1.800000E+00,+6.057390E-05
+1.010000E-01,-1.767008E-05,+1.800000E+00,+6.056656E-05
+1.020000E-01,-1.767106E-05,+1.800000E+00,+6.055478E-05
+1.030000E-01,-1.767007E-05,+1.800000E+00,+6.057183E-05
+1.040000E-01,-1.767266E-05,+1.800000E+00,+6.056652E-05
+1.050000E-01,-1.766967E-05,+1.800000E+00,+6.056097E-05
+1.060000E-01,-1.766807E-05,+1.800000E+00,+6.055152E-05
+1.070000E-01,-1.766551E-05,+1.800000E+00,+6.055922E-05
+1.080000E-01,-1.767905E-05,+1.800000E+00,+6.058084E-05
+1.090000E-01,-1.767024E-05,+1.800000E+00,+6.055614E-05
+1.100000E-01,-1.767292E-05,+1.800000E+00,+6.056849E-05
+1.110000E-01,-1.766778E-05,+1.800000E+00,+6.056203E-05
+1.120000E-01,-1.766387E-05,+1.800000E+00,+6.052267E-05
+1.130000E-01,-1.767047E-05,+1.800000E+00,+6.056079E-05
+1.140000E-01,-1.766989E-05,+1.800000E+00,+6.055430E-05
+1.150000E-01,-1.766605E-05,+1.800000E+00,+6.053624E-05
+1.160000E-01,-1.766241E-05,+1.800000E+00,+6.054290E-05
+1.170000E-01,-1.766145E-05,+1.800000E+00,+6.053838E-05
+1.180000E-01,-1.765878E-05,+1.800000E+00,+6.052397E-05
+1.190000E-01,-1.766342E-05,+1.800000E+00,+6.053341E-05
+1.200000E-01,-1.766455E-05,+1.800000E+00,+6.054440E-05
+1.210000E-01,-1.767102E-05,+1.800000E+00,+6.055193E-05
+1.220000E-01,-1.767220E-05,+1.800000E+00,+6.054720E-05
+1.230000E-01,-1.766990E-05,+1.800000E+00,+6.054317E-05
+1.240000E-01,-1.766330E-05,+1.800000E+00,+6.053517E-05
+1.250000E-01,-1.766918E-05,+1.800000E+00,+6.053950E-05
+1.260000E-01,-1.767083E-05,+1.800000E+00,+6.055005E-05
+1.270000E-01,-1.766813E-05,+1.800000E+00,+6.054281E-05
+1.280000E-01,-1.767033E-05,+1.800000E+00,+6.055533E-05
+1.290000E-01,-1.766948E-05,+1.800000E+00,+6.055251E-05
+1.300000E-01,-1.766820E-05,+1.800000E+00,+6.054213E-05
+1.310000E-01,-1.766776E-05,+1.800000E+00,+6.053619E-05
+1.320000E-01,-1.766770E-05,+1.800000E+00,+6.053891E-05
+1.330000E-01,-1.766189E-05,+1.800000E+00,+6.052562E-05
+1.340000E-01,-1.766890E-05,+1.800000E+00,+6.053925E-05
+1.350000E-01,-1.765909E-05,+1.800000E+00,+6.052243E-05
+1.360000E-01,-1.766022E-05,+1.800000E+00,+6.052879E-05
+1.370000E-01,-1.766372E-05,+1.800000E+00,+6.052223E-05
+1.380000E-01,-1.766147E-05,+1.800000E+00,+6.051611E-05
+1.390000E-01,-1.766183E-05,+1.800000E+00,+6.052036E-05
+1.400000E-01,-1.766121E-05,+1.800000E+00,+6.051424E-05
+1.410000E-01,-1.764864E-05,+1.800000E+00,+6.048522E-05
+1.420000E-01,-1.765552E-05,+1.800000E+00,+6.050807E-05
+1.430000E-01,-1.765397E-05,+1.800000E+00,+6.050080E-05
+1.440000E-01,-1.765498E-05,+1.800000E+00,+6.049961E-05
+1.450000E-01,-1.764973E-05,+1.800000E+00,+6.050359E-05
+1.460000E-01,-1.766161E-05,+1.800000E+00,+6.053395E-05
+1.470000E-01,-1.765264E-05,+1.800000E+00,+6.049848E-05
+1.480000E-01,-1.765388E-05,+1.800000E+00,+6.051019E-05
+1.490000E-01,-1.765588E-05,+1.800000E+00,+6.051614E-05
+1.500000E-01,-1.764727E-05,+1.800000E+00,+6.048745E-05
+1.510000E-01,-1.765293E-05,+1.800000E+00,+6.048204E-05
+1.520000E-01,-1.765574E-05,+1.800000E+00,+6.050896E-05
+1.530000E-01,-1.764796E-05,+1.800000E+00,+6.048981E-05
+1.540000E-01,-1.764657E-05,+1.800000E+00,+6.047815E-05
+1.550000E-01,-1.765360E-05,+1.800000E+00,+6.049706E-05
+1.560000E-01,-1.765232E-05,+1.800000E+00,+6.049346E-05
+1.570000E-01,-1.765288E-05,+1.800000E+00,+6.049286E-05
+1.580000E-01,-1.764580E-05,+1.800000E+00,+6.046795E-05
+1.590000E-01,-1.764620E-05,+1.800000E+00,+6.046859E-05
+1.600000E-01,-1.764535E-05,+1.800000E+00,+6.047167E-05
+1.610000E-01,-1.764918E-05,+1.800000E+00,+6.047967E-05
+1.620000E-01,-1.764986E-05,+1.800000E+00,+6.048559E-05
+1.630000E-01,-1.764984E-05,+1.800000E+00,+6.048390E-05
+1.640000E-01,-1.764381E-05,+1.800000E+00,+6.046941E-05
+1.650000E-01,-1.764457E-05,+1.800000E+00,+6.047054E-05
