VDD,IDD,VREF,IREF
+1.800000E+00,+5.419102E-05,+0.000000E+00,-1.559985E-05
+1.799000E+00,+5.409568E-05,+0.000000E+00,-1.560134E-05
+1.798000E+00,+5.404873E-05,+0.000000E+00,-1.560429E-05
+1.797000E+00,+5.401373E-05,+0.000000E+00,-1.561882E-05
+1.796000E+00,+5.397292E-05,+0.000000E+00,-1.561244E-05
+1.795000E+00,+5.396129E-05,+0.000000E+00,-1.560976E-05
+1.794000E+00,+5.394276E-05,+0.000000E+00,-1.562689E-05
+1.793000E+00,+5.392560E-05,+0.000000E+00,-1.561995E-05
+1.792000E+00,+5.395423E-05,+0.000000E+00,-1.562982E-05
+1.791000E+00,+5.395168E-05,+0.000000E+00,-1.563278E-05
+1.790000E+00,+5.393680E-05,+0.000000E+00,-1.562784E-05
+1.789000E+00,+5.393317E-05,+0.000000E+00,-1.564544E-05
+1.788000E+00,+5.393379E-05,+0.000000E+00,-1.564017E-05
+1.787000E+00,+5.397743E-05,+0.000000E+00,-1.565360E-05
+1.786000E+00,+5.395624E-05,+0.000000E+00,-1.566169E-05
+1.785000E+00,+5.394965E-05,+0.000000E+00,-1.566140E-05
+1.784000E+00,+5.394853E-05,+0.000000E+00,-1.565858E-05
+1.783000E+00,+5.399630E-05,+0.000000E+00,-1.566099E-05
+1.782000E+00,+5.395567E-05,+0.000000E+00,-1.566848E-05
+1.781000E+00,+5.400002E-05,+0.000000E+00,-1.567812E-05
+1.780000E+00,+5.397206E-05,+0.000000E+00,-1.568268E-05
+1.779000E+00,+5.398234E-05,+0.000000E+00,-1.567944E-05
+1.778000E+00,+5.398821E-05,+0.000000E+00,-1.567983E-05
+1.777000E+00,+5.400176E-05,+0.000000E+00,-1.568749E-05
+1.776000E+00,+5.402206E-05,+0.000000E+00,-1.568847E-05
+1.775000E+00,+5.403398E-05,+0.000000E+00,-1.569521E-05
+1.774000E+00,+5.403228E-05,+0.000000E+00,-1.570355E-05
+1.773000E+00,+5.404405E-05,+0.000000E+00,-1.572235E-05
+1.772000E+00,+5.405232E-05,+0.000000E+00,-1.570899E-05
+1.771000E+00,+5.409004E-05,+0.000000E+00,-1.571392E-05
+1.770000E+00,+5.408393E-05,+0.000000E+00,-1.572143E-05
+1.769000E+00,+5.407895E-05,+0.000000E+00,-1.571998E-05
+1.768000E+00,+5.410218E-05,+0.000000E+00,-1.571732E-05
+1.767000E+00,+5.408193E-05,+0.000000E+00,-1.572310E-05
+1.766000E+00,+5.408917E-05,+0.000000E+00,-1.572718E-05
+1.765000E+00,+5.408603E-05,+0.000000E+00,-1.573879E-05
+1.764000E+00,+5.409194E-05,+0.000000E+00,-1.572436E-05
+1.763000E+00,+5.414644E-05,+0.000000E+00,-1.572443E-05
+1.762000E+00,+5.411988E-05,+0.000000E+00,-1.574697E-05
+1.761000E+00,+5.414329E-05,+0.000000E+00,-1.574403E-05
+1.760000E+00,+5.412918E-05,+0.000000E+00,-1.574185E-05
+1.759000E+00,+5.412517E-05,+0.000000E+00,-1.574502E-05
+1.758000E+00,+5.417541E-05,+0.000000E+00,-1.574716E-05
+1.757000E+00,+5.416049E-05,+0.000000E+00,-1.575636E-05
+1.756000E+00,+5.417549E-05,+0.000000E+00,-1.575106E-05
+1.755000E+00,+5.421296E-05,+0.000000E+00,-1.575993E-05
+1.754000E+00,+5.418334E-05,+0.000000E+00,-1.577656E-05
+1.753000E+00,+5.420688E-05,+0.000000E+00,-1.576649E-05
+1.752000E+00,+5.422889E-05,+0.000000E+00,-1.576854E-05
+1.751000E+00,+5.424658E-05,+0.000000E+00,-1.577706E-05
+1.750000E+00,+5.424288E-05,+0.000000E+00,-1.578533E-05
+1.749000E+00,+5.423890E-05,+0.000000E+00,-1.578500E-05
+1.748000E+00,+5.425715E-05,+0.000000E+00,-1.578631E-05
+1.747000E+00,+5.427876E-05,+0.000000E+00,-1.579270E-05
