VDD,IDD,VREF,IREF
+0.000000E+00,-2.391470E-08,+0.000000E+00,+3.138557E-10
+1.000000E-03,-1.973692E-08,+0.000000E+00,+3.239290E-10
+2.000000E-03,-1.764551E-08,+0.000000E+00,+3.340028E-10
+3.000000E-03,-1.596130E-08,+0.000000E+00,+3.742975E-10
+4.000000E-03,-1.460893E-08,+0.000000E+00,+3.440775E-10
+5.000000E-03,-1.371906E-08,+0.000000E+00,+3.491138E-10
+6.000000E-03,-1.309570E-08,+0.000000E+00,+3.088186E-10
+7.000000E-03,-1.110481E-08,+0.000000E+00,+3.188925E-10
+8.000000E-03,-1.071267E-08,+0.000000E+00,+2.685253E-10
+9.000000E-03,-9.541277E-09,+0.000000E+00,+2.886728E-10
+1.000000E-02,-9.863038E-09,+0.000000E+00,+2.987456E-10
+1.100000E-02,-1.006916E-08,+0.000000E+00,+2.685263E-10
+1.200000E-02,-9.973641E-09,+0.000000E+00,+2.836367E-10
+1.300000E-02,-5.534412E-09,+0.000000E+00,+2.685252E-10
+1.400000E-02,-5.076922E-09,+0.000000E+00,+2.685258E-10
+1.500000E-02,-5.373538E-09,+0.000000E+00,+2.886711E-10
+1.600000E-02,-6.615319E-09,+0.000000E+00,+2.685259E-10
+1.700000E-02,-5.710383E-09,+0.000000E+00,+2.080855E-10
+1.800000E-02,-5.720425E-09,+0.000000E+00,+2.433423E-10
+1.900000E-02,-5.760647E-09,+0.000000E+00,+2.332688E-10
+2.000000E-02,-5.534416E-09,+0.000000E+00,+3.239294E-10
+2.100000E-02,-4.161925E-09,+0.000000E+00,+2.886742E-10
+2.200000E-02,-2.754243E-09,+0.000000E+00,+2.534157E-10
+2.300000E-02,-3.161464E-09,+0.000000E+00,+2.483794E-10
+2.400000E-02,-3.337427E-09,+0.000000E+00,+2.836368E-10
+2.500000E-02,-1.014820E-09,+0.000000E+00,+3.239290E-10
+2.600000E-02,-1.834222E-09,+0.000000E+00,+2.332675E-10
+2.700000E-02,-2.884957E-09,+0.000000E+00,+2.282324E-10
+2.800000E-02,-1.321457E-09,+0.000000E+00,+2.131223E-10
+2.900000E-02,-2.181115E-09,+0.000000E+00,+2.383060E-10
+3.000000E-02,-2.191169E-09,+0.000000E+00,+2.685260E-10
+3.100000E-02,-7.534260E-10,+0.000000E+00,+2.534162E-10
+3.200000E-02,+3.524798E-10,+0.000000E+00,+2.181585E-10
+3.300000E-02,-1.487343E-09,+0.000000E+00,+1.274980E-10
+3.400000E-02,+5.589185E-11,+0.000000E+00,+2.282317E-10
+3.500000E-02,+1.815654E-10,+0.000000E+00,+2.332683E-10
+3.600000E-02,-1.190759E-09,+0.000000E+00,+2.131217E-10
+3.700000E-02,+4.479865E-10,+0.000000E+00,+1.778647E-10
+3.800000E-02,+1.312969E-10,+0.000000E+00,+2.433441E-10
+3.900000E-02,+3.242909E-09,+0.000000E+00,+2.080854E-10
+4.000000E-02,-5.473253E-10,+0.000000E+00,+1.879380E-10
+4.100000E-02,+1.699667E-09,+0.000000E+00,+2.030497E-10
+4.200000E-02,+9.908876E-10,+0.000000E+00,+1.627553E-10
+4.300000E-02,+2.197323E-09,+0.000000E+00,+2.836364E-10
+4.400000E-02,+3.252957E-09,+0.000000E+00,+1.677923E-10
+4.500000E-02,+3.006642E-09,+0.000000E+00,+1.829012E-10
+4.600000E-02,+2.614549E-09,+0.000000E+00,+1.174248E-10
+4.700000E-02,+2.659791E-09,+0.000000E+00,+1.879376E-10
+4.800000E-02,+2.755296E-09,+0.000000E+00,+2.131213E-10
+4.900000E-02,+3.815964E-09,+0.000000E+00,+1.728291E-10
+5.000000E-02,+4.635340E-09,+0.000000E+00,+2.030481E-10
+5.100000E-02,+4.871592E-09,+0.000000E+00,+1.274976E-10
+5.200000E-02,+4.248265E-09,+0.000000E+00,+1.879389E-10
+5.300000E-02,+2.418502E-09,+0.000000E+00,+1.375728E-10
+5.400000E-02,+4.590089E-09,+0.000000E+00,+1.274983E-10
+5.500000E-02,+5.560277E-09,+0.000000E+00,+1.577188E-10
+5.600000E-02,+3.157452E-09,+0.000000E+00,+1.677919E-10
+5.700000E-02,+6.666184E-09,+0.000000E+00,+1.627555E-10
+5.800000E-02,+3.800884E-09,+0.000000E+00,+1.426084E-10
+5.900000E-02,+5.484881E-09,+0.000000E+00,+1.174250E-10
+6.000000E-02,+5.565307E-09,+0.000000E+00,+1.426081E-10
+6.100000E-02,+5.605514E-09,+0.000000E+00,+1.224603E-10
+6.200000E-02,+6.505326E-09,+0.000000E+00,+1.577182E-10
+6.300000E-02,+6.349484E-09,+0.000000E+00,+8.216683E-11
+6.400000E-02,+6.545535E-09,+0.000000E+00,+1.073508E-10
+6.500000E-02,+7.601173E-09,+0.000000E+00,+1.728284E-10
+6.600000E-02,+6.651102E-09,+0.000000E+00,+1.123874E-10
+6.700000E-02,+6.857187E-09,+0.000000E+00,+6.705747E-11
+6.800000E-02,+7.571005E-09,+0.000000E+00,+1.123884E-10
+6.900000E-02,+8.772425E-09,+0.000000E+00,+1.224618E-10
+7.000000E-02,+8.445678E-09,+0.000000E+00,+1.829022E-10
