VDD,IDD,VREF,IREF
+1.800000E+00,+3.824240E-08,+0.000000E+00,+9.724466E-11
+1.799000E+00,+3.520635E-08,+0.000000E+00,+1.576840E-10
+1.798000E+00,+3.060205E-08,+0.000000E+00,+3.680556E-11
+1.797000E+00,+3.052162E-08,+0.000000E+00,+3.176936E-11
+1.796000E+00,+3.003908E-08,+0.000000E+00,+8.213330E-11
+1.795000E+00,+3.083825E-08,+0.000000E+00,+4.184142E-11
+1.794000E+00,+3.040600E-08,+0.000000E+00,+1.274637E-10
+1.793000E+00,+3.616645E-08,+0.000000E+00,+8.213452E-11
+1.792000E+00,+3.674449E-08,+0.000000E+00,+6.702472E-11
+1.791000E+00,+3.512094E-08,+0.000000E+00,+1.022813E-10
+1.790000E+00,+3.193909E-08,+0.000000E+00,+8.213508E-11
+1.789000E+00,+3.347723E-08,+0.000000E+00,-1.859624E-11
+1.788000E+00,+2.915439E-08,+0.000000E+00,+1.224273E-10
+1.787000E+00,+3.850874E-08,+0.000000E+00,+9.724355E-11
+1.786000E+00,+4.125824E-08,+0.000000E+00,+9.724466E-11
+1.785000E+00,+2.973750E-08,+0.000000E+00,+1.123542E-10
+1.784000E+00,+3.344206E-08,+0.000000E+00,+1.665912E-11
+1.783000E+00,+3.315551E-08,+0.000000E+00,+5.695211E-11
+1.782000E+00,+2.684723E-08,+0.000000E+00,+1.274633E-10
+1.781000E+00,+2.727952E-08,+0.000000E+00,+5.695144E-11
+1.780000E+00,+3.073779E-08,+0.000000E+00,+7.206147E-11
+1.779000E+00,+3.025022E-08,+0.000000E+00,+7.709844E-11
+1.778000E+00,+2.970231E-08,+0.000000E+00,+9.724566E-11
+1.777000E+00,+2.903879E-08,+0.000000E+00,+9.220891E-11
+1.776000E+00,+2.937056E-08,+0.000000E+00,+8.213608E-11
+1.775000E+00,+2.953644E-08,+0.000000E+00,+1.665912E-11
+1.774000E+00,+2.753588E-08,+0.000000E+00,+1.224278E-10
+1.773000E+00,+3.161236E-08,+0.000000E+00,+1.665967E-11
+1.772000E+00,+2.435408E-08,+0.000000E+00,+2.169542E-11
+1.771000E+00,+2.506783E-08,+0.000000E+00,+6.702583E-11
+1.770000E+00,+2.581678E-08,+0.000000E+00,+1.224273E-10
+1.769000E+00,+3.397993E-08,+0.000000E+00,+1.665912E-11
+1.768000E+00,+2.510303E-08,+0.000000E+00,+6.702583E-11
+1.767000E+00,+2.552524E-08,+0.000000E+00,+4.687817E-11
+1.766000E+00,+2.809886E-08,+0.000000E+00,+9.724344E-11
+1.765000E+00,+2.904890E-08,+0.000000E+00,+1.526467E-10
+1.764000E+00,+2.583687E-08,+0.000000E+00,+1.224266E-10
+1.763000E+00,+2.314268E-08,+0.000000E+00,+8.213474E-11
+1.762000E+00,+2.381120E-08,+0.000000E+00,+9.220913E-11
+1.761000E+00,+3.226582E-08,+0.000000E+00,+8.717138E-11
+1.760000E+00,+2.431389E-08,+0.000000E+00,+6.702627E-11
+1.759000E+00,+2.268023E-08,+0.000000E+00,-2.866862E-11
+1.758000E+00,+2.520857E-08,+0.000000E+00,+8.717149E-11
+1.757000E+00,+2.347441E-08,+0.000000E+00,+2.169598E-11
+1.756000E+00,+2.198658E-08,+0.000000E+00,+8.213497E-11
+1.755000E+00,+2.292653E-08,+0.000000E+00,+2.169631E-11
+1.754000E+00,+3.197434E-08,+0.000000E+00,+1.627206E-10
+1.753000E+00,+2.311756E-08,+0.000000E+00,+8.213685E-11
+1.752000E+00,+2.155427E-08,+0.000000E+00,+2.169687E-11
+1.751000E+00,+2.419324E-08,+0.000000E+00,+1.549760E-12
+1.750000E+00,+2.069474E-08,+0.000000E+00,+6.198941E-11
+1.749000E+00,+2.200667E-08,+0.000000E+00,+6.702672E-11
+1.748000E+00,+2.380117E-08,+0.000000E+00,+7.206280E-11
+1.747000E+00,+2.229820E-08,+0.000000E+00,+6.198897E-11
+1.746000E+00,+2.471597E-08,+0.000000E+00,+1.929397E-10
+1.745000E+00,+2.110189E-08,+0.000000E+00,+7.709922E-11
+1.744000E+00,+2.116725E-08,+0.000000E+00,+6.585843E-12
+1.743000E+00,+2.199663E-08,+0.000000E+00,+6.702594E-11
+1.742000E+00,+2.135826E-08,+0.000000E+00,+1.022809E-10
+1.741000E+00,+1.984527E-08,+0.000000E+00,+7.206291E-11
+1.740000E+00,+1.961404E-08,+0.000000E+00,+9.724410E-11
+1.739000E+00,+1.997595E-08,+0.000000E+00,+3.680600E-11
+1.738000E+00,+1.984025E-08,+0.000000E+00,+8.213563E-11
+1.737000E+00,+2.401728E-08,+0.000000E+00,-8.523071E-12
+1.736000E+00,+2.035797E-08,+0.000000E+00,+4.687817E-11
+1.735000E+00,+2.071987E-08,+0.000000E+00,+9.220824E-11
+1.734000E+00,+2.467073E-08,+0.000000E+00,+6.198930E-11
+1.733000E+00,+1.750790E-08,+0.000000E+00,+1.224265E-10
+1.732000E+00,+2.247919E-08,+0.000000E+00,+3.176925E-11
+1.731000E+00,+1.889523E-08,+0.000000E+00,+4.184297E-11
+1.730000E+00,+1.972465E-08,+0.000000E+00,+9.724554E-11
+1.729000E+00,+1.822171E-08,+0.000000E+00,+1.224283E-10
+1.728000E+00,+2.105666E-08,+0.000000E+00,+4.687939E-11
+1.727000E+00,+1.869921E-08,+0.000000E+00,+6.702594E-11
+1.726000E+00,+1.782962E-08,+0.000000E+00,+1.665967E-11
+1.725000E+00,+1.756323E-08,+0.000000E+00,+1.325006E-10
+1.724000E+00,+2.385646E-08,+0.000000E+00,+1.073190E-10
+1.723000E+00,+1.879975E-08,+0.000000E+00,+4.687972E-11
+1.722000E+00,+2.484669E-08,+0.000000E+00,+5.695300E-11
+1.721000E+00,+2.182068E-08,+0.000000E+00,+6.702494E-11
+1.720000E+00,+1.785979E-08,+0.000000E+00,+1.022813E-10
+1.719000E+00,+1.707563E-08,+0.000000E+00,+7.206102E-11
+1.718000E+00,+3.200443E-08,+0.000000E+00,+9.220769E-11
+1.717000E+00,+1.831217E-08,+0.000000E+00,+7.206191E-11
+1.716000E+00,+1.680924E-08,+0.000000E+00,+1.274640E-10
+1.715000E+00,+2.039817E-08,+0.000000E+00,+7.206380E-11
+1.714000E+00,+1.585420E-08,+0.000000E+00,+4.184308E-11
+1.713000E+00,+1.962410E-08,+0.000000E+00,+3.176970E-11
+1.712000E+00,+1.547719E-08,+0.000000E+00,+4.688017E-11
+1.711000E+00,+2.264005E-08,+0.000000E+00,+4.687883E-11
+1.710000E+00,+1.595974E-08,+0.000000E+00,+9.724599E-11
+1.709000E+00,+2.167490E-08,+0.000000E+00,+1.576844E-10
+1.708000E+00,+1.523594E-08,+0.000000E+00,+6.198897E-11
+1.707000E+00,+2.025745E-08,+0.000000E+00,+2.169676E-11
+1.706000E+00,+1.719125E-08,+0.000000E+00,+1.727940E-10
+1.705000E+00,+1.441661E-08,+0.000000E+00,+7.709833E-11
+1.704000E+00,+1.582403E-08,+0.000000E+00,+8.213452E-11
+1.703000E+00,+2.508794E-08,+0.000000E+00,-3.486211E-12
+1.702000E+00,+1.337109E-08,+0.000000E+00,+1.325011E-10
+1.701000E+00,+1.719629E-08,+0.000000E+00,+1.173910E-10
+1.700000E+00,+1.835238E-08,+0.000000E+00,+7.206269E-11
+1.699000E+00,+1.734205E-08,+0.000000E+00,+1.022826E-10
+1.698000E+00,+1.238588E-08,+0.000000E+00,+5.695355E-11
+1.697000E+00,+1.266235E-08,+0.000000E+00,+4.184331E-11
+1.696000E+00,+1.200889E-08,+0.000000E+00,+7.206236E-11
+1.695000E+00,+1.849313E-08,+0.000000E+00,+3.176981E-11
+1.694000E+00,+1.374304E-08,+0.000000E+00,+2.673284E-11
+1.693000E+00,+1.791508E-08,+0.000000E+00,+8.717160E-11
+1.692000E+00,+1.209436E-08,+0.000000E+00,+4.184275E-11
+1.691000E+00,+1.981010E-08,+0.000000E+00,+5.191547E-11
+1.690000E+00,+1.251155E-08,+0.000000E+00,+4.687950E-11
+1.689000E+00,+2.064950E-08,+0.000000E+00,+1.073176E-10
+1.688000E+00,+1.264728E-08,+0.000000E+00,+6.198753E-11
+1.687000E+00,+1.264225E-08,+0.000000E+00,+4.184275E-11
+1.686000E+00,+1.998600E-08,+0.000000E+00,+7.206202E-11
+1.685000E+00,+2.447975E-08,+0.000000E+00,+3.176959E-11
+1.684000E+00,+1.188826E-08,+0.000000E+00,+5.191580E-11
+1.683000E+00,+1.193853E-08,+0.000000E+00,+1.173918E-10
+1.682000E+00,+1.181285E-08,+0.000000E+00,+8.717271E-11
+1.681000E+00,+1.173747E-08,+0.000000E+00,+4.184386E-11
+1.680000E+00,+2.845572E-08,+0.000000E+00,+1.526468E-10
+1.679000E+00,+1.877965E-08,+0.000000E+00,+1.022816E-10
+1.678000E+00,+1.164198E-08,+0.000000E+00,+8.717227E-11
+1.677000E+00,+1.234066E-08,+0.000000E+00,+1.173918E-10
+1.676000E+00,+2.402733E-08,+0.000000E+00,+6.702705E-11
+1.675000E+00,+1.164700E-08,+0.000000E+00,+5.695300E-11
+1.674000E+00,+1.169222E-08,+0.000000E+00,+4.184364E-11
+1.673000E+00,+2.871209E-08,+0.000000E+00,+1.274637E-10
+1.672000E+00,+1.117451E-08,+0.000000E+00,+3.680678E-11
+1.671000E+00,+1.172740E-08,+0.000000E+00,+1.224286E-10
+1.670000E+00,+2.238367E-08,+0.000000E+00,+2.169687E-11
+1.669000E+00,+1.146605E-08,+0.000000E+00,+8.213552E-11
+1.668000E+00,+1.213456E-08,+0.000000E+00,+7.709977E-11
+1.667000E+00,+2.044844E-08,+0.000000E+00,+9.221013E-11
+1.666000E+00,+1.375311E-08,+0.000000E+00,+4.184342E-11
+1.665000E+00,+4.724492E-08,+0.000000E+00,+4.184264E-11
+1.664000E+00,+1.197371E-08,+0.000000E+00,+4.184231E-11
+1.663000E+00,+1.167212E-08,+0.000000E+00,+1.173918E-10
+1.662000E+00,+5.129124E-08,+0.000000E+00,+3.440341E-10
+1.661000E+00,+3.001395E-08,+0.000000E+00,+9.220880E-11
+1.660000E+00,+1.230043E-08,+0.000000E+00,+1.123550E-10
+1.659000E+00,+1.557272E-08,+0.000000E+00,+7.206158E-11
+1.658000E+00,+1.198880E-08,+0.000000E+00,+8.213663E-11
+1.657000E+00,+2.629430E-08,+0.000000E+00,+8.717060E-11
+1.656000E+00,+1.195865E-08,+0.000000E+00,+8.717171E-11
+1.655000E+00,+2.895339E-08,+0.000000E+00,+6.198975E-11
+1.654000E+00,+1.172238E-08,+0.000000E+00,+6.198864E-11
+1.653000E+00,+2.002619E-08,+0.000000E+00,+7.709910E-11
+1.652000E+00,+1.117952E-08,+0.000000E+00,+3.177036E-11
+1.651000E+00,+4.692824E-08,+0.000000E+00,+2.169753E-11
+1.650000E+00,+1.067687E-08,+0.000000E+00,+8.213574E-11
+1.649000E+00,+1.835743E-08,+0.000000E+00,+9.724599E-11
+1.648000E+00,+9.867592E-09,+0.000000E+00,+1.828673E-10
+1.647000E+00,+1.242610E-08,+0.000000E+00,+1.073186E-10
+1.646000E+00,+9.958076E-09,+0.000000E+00,+6.702583E-11
+1.645000E+00,+3.175315E-08,+0.000000E+00,+1.526468E-10
+1.644000E+00,+1.013400E-08,+0.000000E+00,+9.724599E-11
+1.643000E+00,+1.013401E-08,+0.000000E+00,+5.695322E-11
+1.642000E+00,+1.684944E-08,+0.000000E+00,+5.695311E-11
+1.641000E+00,+1.066179E-08,+0.000000E+00,+8.213563E-11
+1.640000E+00,+4.222843E-08,+0.000000E+00,+1.274657E-10
+1.639000E+00,+2.698799E-08,+0.000000E+00,+1.173904E-10
+1.638000E+00,+9.611239E-09,+0.000000E+00,+6.702661E-11
+1.637000E+00,+8.465200E-09,+0.000000E+00,+9.724621E-11
+1.636000E+00,+3.735273E-08,+0.000000E+00,+1.476098E-10
+1.635000E+00,+3.905166E-08,+0.000000E+00,+1.425736E-10
+1.634000E+00,+3.614128E-08,+0.000000E+00,-1.859468E-11
+1.633000E+00,+3.636245E-08,+0.000000E+00,+1.224282E-10
+1.632000E+00,+7.354325E-09,+0.000000E+00,+4.688017E-11
+1.631000E+00,+3.624183E-08,+0.000000E+00,+3.680622E-11
+1.630000E+00,+7.439765E-09,+0.000000E+00,+1.666056E-11
+1.629000E+00,+7.429720E-09,+0.000000E+00,+9.221046E-11
+1.628000E+00,+1.277797E-08,+0.000000E+00,+9.724521E-11
+1.627000E+00,+1.949341E-08,+0.000000E+00,+9.724521E-11
+1.626000E+00,+3.288912E-08,+0.000000E+00,+9.220935E-11
+1.625000E+00,+3.182354E-08,+0.000000E+00,+1.375386E-10
+1.624000E+00,+3.136606E-08,+0.000000E+00,+6.199075E-11
+1.623000E+00,+3.006928E-08,+0.000000E+00,+1.665990E-11
+1.622000E+00,+3.005920E-08,+0.000000E+00,+9.220924E-11
+1.621000E+00,+2.819935E-08,+0.000000E+00,+1.375388E-10
+1.620000E+00,+2.918461E-08,+0.000000E+00,+3.680800E-11
+1.619000E+00,+6.268593E-09,+0.000000E+00,+1.162459E-11
+1.618000E+00,+2.913937E-08,+0.000000E+00,+1.173917E-10
+1.617000E+00,+2.796815E-08,+0.000000E+00,+9.724677E-11
+1.616000E+00,+6.228377E-09,+0.000000E+00,+7.709833E-11
+1.615000E+00,+2.669137E-08,+0.000000E+00,+7.709999E-11
+1.614000E+00,+6.781315E-09,+0.000000E+00,+9.724599E-11
+1.613000E+00,+2.651045E-08,+0.000000E+00,+8.213674E-11
+1.612000E+00,+2.387151E-08,+0.000000E+00,+8.213519E-11
+1.611000E+00,+2.434905E-08,+0.000000E+00,+8.213485E-11
+1.610000E+00,+2.505780E-08,+0.000000E+00,+8.717238E-11
+1.609000E+00,+2.387653E-08,+0.000000E+00,+1.173920E-10
+1.608000E+00,+2.466070E-08,+0.000000E+00,+1.173933E-10
+1.607000E+00,+2.244401E-08,+0.000000E+00,+6.702605E-11
+1.606000E+00,+2.245907E-08,+0.000000E+00,+1.666023E-11
+1.605000E+00,+2.178550E-08,+0.000000E+00,+1.425743E-10
+1.604000E+00,+2.403240E-08,+0.000000E+00,+7.710033E-11
+1.603000E+00,+2.145376E-08,+0.000000E+00,+1.173923E-10
+1.602000E+00,+1.958889E-08,+0.000000E+00,+6.198897E-11
+1.601000E+00,+1.946829E-08,+0.000000E+00,+1.073186E-10
+1.600000E+00,+2.174529E-08,+0.000000E+00,+2.673328E-11
+1.599000E+00,+2.033785E-08,+0.000000E+00,+7.709966E-11
+1.598000E+00,+2.241384E-08,+0.000000E+00,+8.717271E-11
+1.597000E+00,+2.097624E-08,+0.000000E+00,+1.173919E-10
+1.596000E+00,+2.066460E-08,+0.000000E+00,+5.695311E-11
+1.595000E+00,+1.870928E-08,+0.000000E+00,+1.022831E-10
+1.594000E+00,+1.754312E-08,+0.000000E+00,+4.688061E-11
+1.593000E+00,+1.969949E-08,+0.000000E+00,+8.213563E-11
+1.592000E+00,+1.888519E-08,+0.000000E+00,+3.680578E-11
+1.591000E+00,+1.759337E-08,+0.000000E+00,+5.695378E-11
+1.590000E+00,+1.817645E-08,+0.000000E+00,+9.220846E-11
+1.589000E+00,+1.746269E-08,+0.000000E+00,+1.325020E-10
+1.588000E+00,+1.726163E-08,+0.000000E+00,+1.022818E-10
+1.587000E+00,+1.660313E-08,+0.000000E+00,+8.717227E-11
+1.586000E+00,+1.364252E-08,+0.000000E+00,+9.220946E-11
+1.585000E+00,+1.465789E-08,+0.000000E+00,+7.206347E-11
+1.584000E+00,+1.243615E-08,+0.000000E+00,+1.123552E-10
+1.583000E+00,+1.222504E-08,+0.000000E+00,+1.022816E-10
+1.582000E+00,+1.318008E-08,+0.000000E+00,+1.325018E-10
+1.581000E+00,+1.180280E-08,+0.000000E+00,+8.717227E-11
+1.580000E+00,+1.264727E-08,+0.000000E+00,+6.588063E-12
+1.579000E+00,+1.050597E-08,+0.000000E+00,+1.022816E-10
+1.578000E+00,+1.155149E-08,+0.000000E+00,+1.022823E-10
+1.577000E+00,+1.133533E-08,+0.000000E+00,+9.220802E-11
+1.576000E+00,+1.125995E-08,+0.000000E+00,+8.717294E-11
+1.575000E+00,+9.063343E-09,+0.000000E+00,+1.677571E-10
+1.574000E+00,+9.118652E-09,+0.000000E+00,+3.177048E-11
+1.573000E+00,+9.882681E-09,+0.000000E+00,+1.677580E-10
+1.572000E+00,+1.025463E-08,+0.000000E+00,+8.213696E-11
+1.571000E+00,+8.791924E-09,+0.000000E+00,+8.213530E-11
+1.570000E+00,+8.430009E-09,+0.000000E+00,+1.325016E-10
+1.569000E+00,+8.791913E-09,+0.000000E+00,+9.724599E-11
+1.568000E+00,+8.259096E-09,+0.000000E+00,+7.206280E-11
+1.567000E+00,+9.616271E-09,+0.000000E+00,+7.206347E-11
+1.566000E+00,+7.902222E-09,+0.000000E+00,+1.274667E-10
+1.565000E+00,+8.460163E-09,+0.000000E+00,+9.220968E-11
+1.564000E+00,+6.781296E-09,+0.000000E+00,+7.206424E-11
+1.563000E+00,+7.726291E-09,+0.000000E+00,+1.123549E-10
+1.562000E+00,+7.595612E-09,+0.000000E+00,+9.220880E-11
+1.561000E+00,+7.761483E-09,+0.000000E+00,+1.173923E-10
+1.560000E+00,+6.786330E-09,+0.000000E+00,+1.325015E-10
+1.559000E+00,+7.369401E-09,+0.000000E+00,+1.123555E-10
+1.558000E+00,+5.680494E-09,+0.000000E+00,+1.879061E-10
+1.557000E+00,+6.560132E-09,+0.000000E+00,+1.425772E-10
+1.556000E+00,+6.424420E-09,+0.000000E+00,+6.198919E-11
+1.555000E+00,+5.982077E-09,+0.000000E+00,+1.123561E-10
+1.554000E+00,+6.313825E-09,+0.000000E+00,+5.695378E-11
+1.553000E+00,+5.011966E-09,+0.000000E+00,+1.526468E-10
+1.552000E+00,+5.745837E-09,+0.000000E+00,+6.199075E-11
+1.551000E+00,+4.539466E-09,+0.000000E+00,+1.666156E-11
+1.550000E+00,+4.469090E-09,+0.000000E+00,+9.724599E-11
+1.549000E+00,+4.031785E-09,+0.000000E+00,+9.220957E-11
+1.548000E+00,+4.655075E-09,+0.000000E+00,+4.184386E-11
+1.547000E+00,+4.735500E-09,+0.000000E+00,+9.220935E-11
+1.546000E+00,+4.760629E-09,+0.000000E+00,+9.724477E-11
+1.545000E+00,+4.448987E-09,+0.000000E+00,+1.425760E-10
+1.544000E+00,+4.192633E-09,+0.000000E+00,-2.363132E-11
+1.543000E+00,+3.770406E-09,+0.000000E+00,+1.224283E-10
+1.542000E+00,+4.182581E-09,+0.000000E+00,+7.206258E-11
+1.541000E+00,+3.966441E-09,+0.000000E+00,+1.073193E-10
+1.540000E+00,+4.217770E-09,+0.000000E+00,+7.709966E-11
+1.539000E+00,+4.177558E-09,+0.000000E+00,+8.213652E-11
+1.538000E+00,+4.323330E-09,+0.000000E+00,+7.206202E-11
+1.537000E+00,+4.187605E-09,+0.000000E+00,+8.717449E-11
+1.536000E+00,+4.011677E-09,+0.000000E+00,+7.709999E-11
