VDD,IDD,VREF,IREF
+0.000000E+00,-3.256889E-09,+0.000000E+00,+1.375473E-10
+1.000000E-03,-1.944805E-09,+0.000000E+00,+1.476189E-10
+2.000000E-03,+3.016437E-09,+0.000000E+00,+1.325099E-10
+3.000000E-03,+2.629389E-09,+0.000000E+00,+1.677659E-10
+4.000000E-03,-4.714764E-09,+0.000000E+00,+1.173995E-10
+5.000000E-03,-4.624273E-09,+0.000000E+00,+1.425838E-10
+6.000000E-03,-1.824154E-09,+0.000000E+00,+1.274729E-10
+7.000000E-03,+5.172812E-09,+0.000000E+00,+7.710665E-11
+8.000000E-03,+2.855583E-09,+0.000000E+00,+1.073257E-10
+9.000000E-03,-5.825770E-09,+0.000000E+00,+1.274733E-10
+1.000000E-02,-2.754177E-09,+0.000000E+00,+1.476191E-10
+1.100000E-02,-2.869803E-09,+0.000000E+00,+1.576931E-10
+1.200000E-02,+4.634976E-09,+0.000000E+00,+1.778389E-10
+1.300000E-02,+2.131762E-09,+0.000000E+00,+1.476199E-10
+1.400000E-02,-3.900369E-09,+0.000000E+00,+1.073265E-10
+1.500000E-02,-3.392627E-09,+0.000000E+00,+9.221779E-11
+1.600000E-02,-2.764230E-09,+0.000000E+00,+7.710810E-11
+1.700000E-02,+4.991891E-09,+0.000000E+00,+1.224374E-10
+1.800000E-02,+2.192087E-09,+0.000000E+00,+1.325099E-10
+1.900000E-02,-4.639354E-09,+0.000000E+00,+1.173998E-10
+2.000000E-02,-3.347380E-09,+0.000000E+00,+1.778391E-10
+2.100000E-02,-3.613820E-09,+0.000000E+00,+6.703360E-11
+2.200000E-02,+5.469385E-09,+0.000000E+00,+1.576931E-10
+2.300000E-02,+1.759800E-09,+0.000000E+00,+2.433149E-10
+2.400000E-02,-3.161377E-09,+0.000000E+00,+1.073273E-10
+2.500000E-02,-4.508658E-09,+0.000000E+00,+1.224373E-10
+2.600000E-02,-3.809882E-09,+0.000000E+00,+1.627292E-10
+2.700000E-02,+6.781333E-09,+0.000000E+00,+1.073270E-10
+2.800000E-02,+2.383095E-09,+0.000000E+00,+1.979855E-10
+2.900000E-02,-1.979996E-09,+0.000000E+00,+1.576925E-10
+3.000000E-02,-5.529165E-09,+0.000000E+00,+9.725332E-11
+3.100000E-02,-3.347379E-09,+0.000000E+00,+2.030220E-10
+3.200000E-02,+6.087673E-09,+0.000000E+00,+1.174003E-10
+3.300000E-02,+1.483339E-09,+0.000000E+00,+1.173991E-10
+3.400000E-02,-1.075173E-09,+0.000000E+00,+2.674172E-11
+3.500000E-02,-4.805253E-09,+0.000000E+00,+1.677665E-10
+3.600000E-02,-4.131608E-09,+0.000000E+00,+1.224364E-10
+3.700000E-02,+4.534452E-09,+0.000000E+00,+8.214396E-11
