VREF,IREF,VDD,IDD
+0.000000E+00,-1.940778E-05,+1.800000E+00,+6.661250E-05
+1.000000E-03,-1.942664E-05,+1.800000E+00,+6.648778E-05
+2.000000E-03,-1.941652E-05,+1.800000E+00,+6.633205E-05
+3.000000E-03,-1.942008E-05,+1.800000E+00,+6.622844E-05
+4.000000E-03,-1.941741E-05,+1.800000E+00,+6.613616E-05
+5.000000E-03,-1.940613E-05,+1.800000E+00,+6.603799E-05
+6.000000E-03,-1.940870E-05,+1.800000E+00,+6.599538E-05
+7.000000E-03,-1.939999E-05,+1.800000E+00,+6.591444E-05
+8.000000E-03,-1.941030E-05,+1.800000E+00,+6.590392E-05
+9.000000E-03,-1.941822E-05,+1.800000E+00,+6.588022E-05
+1.000000E-02,-1.939859E-05,+1.800000E+00,+6.580033E-05
+1.100000E-02,-1.941564E-05,+1.800000E+00,+6.581224E-05
+1.200000E-02,-1.941139E-05,+1.800000E+00,+6.578763E-05
+1.300000E-02,-1.941550E-05,+1.800000E+00,+6.577265E-05
+1.400000E-02,-1.940932E-05,+1.800000E+00,+6.573898E-05
+1.500000E-02,-1.941239E-05,+1.800000E+00,+6.573388E-05
+1.600000E-02,-1.942135E-05,+1.800000E+00,+6.571670E-05
+1.700000E-02,-1.941751E-05,+1.800000E+00,+6.570663E-05
+1.800000E-02,-1.940689E-05,+1.800000E+00,+6.566341E-05
+1.900000E-02,-1.941423E-05,+1.800000E+00,+6.566135E-05
+2.000000E-02,-1.941710E-05,+1.800000E+00,+6.566257E-05
+2.100000E-02,-1.942079E-05,+1.800000E+00,+6.565225E-05
+2.200000E-02,-1.939879E-05,+1.800000E+00,+6.559719E-05
+2.300000E-02,-1.941176E-05,+1.800000E+00,+6.560062E-05
+2.400000E-02,-1.941489E-05,+1.800000E+00,+6.560684E-05
+2.500000E-02,-1.942223E-05,+1.800000E+00,+6.562391E-05
+2.600000E-02,-1.941397E-05,+1.800000E+00,+6.557308E-05
+2.700000E-02,-1.942789E-05,+1.800000E+00,+6.559978E-05
+2.800000E-02,-1.942112E-05,+1.800000E+00,+6.558523E-05
+2.900000E-02,-1.941876E-05,+1.800000E+00,+6.556961E-05
+3.000000E-02,-1.939799E-05,+1.800000E+00,+6.551097E-05
+3.100000E-02,-1.941331E-05,+1.800000E+00,+6.554226E-05
+3.200000E-02,-1.941215E-05,+1.800000E+00,+6.553432E-05
+3.300000E-02,-1.942077E-05,+1.800000E+00,+6.555831E-05
+3.400000E-02,-1.939782E-05,+1.800000E+00,+6.549763E-05
+3.500000E-02,-1.941702E-05,+1.800000E+00,+6.553871E-05
+3.600000E-02,-1.941620E-05,+1.800000E+00,+6.554411E-05
+3.700000E-02,-1.941403E-05,+1.800000E+00,+6.553422E-05
+3.800000E-02,-1.942296E-05,+1.800000E+00,+6.554712E-05
+3.900000E-02,-1.942080E-05,+1.800000E+00,+6.553657E-05
+4.000000E-02,-1.942833E-05,+1.800000E+00,+6.554225E-05
+4.100000E-02,-1.942164E-05,+1.800000E+00,+6.551083E-05
+4.200000E-02,-1.943121E-05,+1.800000E+00,+6.554081E-05
+4.300000E-02,-1.942756E-05,+1.800000E+00,+6.553030E-05
+4.400000E-02,-1.942095E-05,+1.800000E+00,+6.550765E-05
+4.500000E-02,-1.942632E-05,+1.800000E+00,+6.551841E-05
+4.600000E-02,-1.942795E-05,+1.800000E+00,+6.551030E-05
+4.700000E-02,-1.941958E-05,+1.800000E+00,+6.549226E-05
+4.800000E-02,-1.943298E-05,+1.800000E+00,+6.552400E-05
+4.900000E-02,-1.941675E-05,+1.800000E+00,+6.549242E-05
+5.000000E-02,-1.942426E-05,+1.800000E+00,+6.550817E-05
+5.100000E-02,-1.943392E-05,+1.800000E+00,+6.552127E-05
+5.200000E-02,-1.943097E-05,+1.800000E+00,+6.550607E-05
+5.300000E-02,-1.941993E-05,+1.800000E+00,+6.547919E-05
+5.400000E-02,-1.941434E-05,+1.800000E+00,+6.547062E-05
+5.500000E-02,-1.942016E-05,+1.800000E+00,+6.548116E-05
+5.600000E-02,-1.942026E-05,+1.800000E+00,+6.548858E-05
+5.700000E-02,-1.942470E-05,+1.800000E+00,+6.548401E-05
+5.800000E-02,-1.942059E-05,+1.800000E+00,+6.547669E-05
+5.900000E-02,-1.942644E-05,+1.800000E+00,+6.547784E-05
+6.000000E-02,-1.941998E-05,+1.800000E+00,+6.547587E-05
+6.100000E-02,-1.941035E-05,+1.800000E+00,+6.544919E-05
+6.200000E-02,-1.941577E-05,+1.800000E+00,+6.545733E-05
+6.300000E-02,-1.942568E-05,+1.800000E+00,+6.544898E-05
+6.400000E-02,-1.943437E-05,+1.800000E+00,+6.548770E-05
+6.500000E-02,-1.942565E-05,+1.800000E+00,+6.545249E-05
+6.600000E-02,-1.942503E-05,+1.800000E+00,+6.544810E-05
+6.700000E-02,-1.943309E-05,+1.800000E+00,+6.548515E-05
+6.800000E-02,-1.941250E-05,+1.800000E+00,+6.542569E-05
+6.900000E-02,-1.941931E-05,+1.800000E+00,+6.543545E-05
+7.000000E-02,-1.942288E-05,+1.800000E+00,+6.544940E-05
+7.100000E-02,-1.942383E-05,+1.800000E+00,+6.545533E-05
+7.200000E-02,-1.942210E-05,+1.800000E+00,+6.544184E-05
+7.300000E-02,-1.941343E-05,+1.800000E+00,+6.541672E-05
+7.400000E-02,-1.941217E-05,+1.800000E+00,+6.540879E-05
+7.500000E-02,-1.943084E-05,+1.800000E+00,+6.547475E-05
+7.600000E-02,-1.943288E-05,+1.800000E+00,+6.546979E-05
+7.700000E-02,-1.942425E-05,+1.800000E+00,+6.545381E-05
+7.800000E-02,-1.942517E-05,+1.800000E+00,+6.543536E-05
+7.900000E-02,-1.941546E-05,+1.800000E+00,+6.542433E-05
+8.000000E-02,-1.942673E-05,+1.800000E+00,+6.545158E-05
+8.100000E-02,-1.941756E-05,+1.800000E+00,+6.542347E-05
+8.200000E-02,-1.943226E-05,+1.800000E+00,+6.544869E-05
+8.300000E-02,-1.942456E-05,+1.800000E+00,+6.543205E-05
+8.400000E-02,-1.942039E-05,+1.800000E+00,+6.542188E-05
+8.500000E-02,-1.942524E-05,+1.800000E+00,+6.542557E-05
+8.600000E-02,-1.944118E-05,+1.800000E+00,+6.546004E-05
+8.700000E-02,-1.941705E-05,+1.800000E+00,+6.541414E-05
+8.800000E-02,-1.941591E-05,+1.800000E+00,+6.540711E-05
+8.900000E-02,-1.942357E-05,+1.800000E+00,+6.543560E-05
+9.000000E-02,-1.942879E-05,+1.800000E+00,+6.543287E-05
+9.100000E-02,-1.942680E-05,+1.800000E+00,+6.543136E-05
+9.200000E-02,-1.942214E-05,+1.800000E+00,+6.540890E-05
+9.300000E-02,-1.942449E-05,+1.800000E+00,+6.543204E-05
+9.400000E-02,-1.942889E-05,+1.800000E+00,+6.544583E-05
+9.500000E-02,-1.941592E-05,+1.800000E+00,+6.541104E-05
+9.600000E-02,-1.941113E-05,+1.800000E+00,+6.541664E-05
+9.700000E-02,-1.941724E-05,+1.800000E+00,+6.542684E-05
+9.800000E-02,-1.942094E-05,+1.800000E+00,+6.541752E-05
+9.900000E-02,-1.943639E-05,+1.800000E+00,+6.546453E-05
+1.000000E-01,-1.943238E-05,+1.800000E+00,+6.544455E-05
+1.010000E-01,-1.941766E-05,+1.800000E+00,+6.540059E-05
+1.020000E-01,-1.941819E-05,+1.800000E+00,+6.542625E-05
+1.030000E-01,-1.942352E-05,+1.800000E+00,+6.539204E-05
+1.040000E-01,-1.943389E-05,+1.800000E+00,+6.543638E-05
+1.050000E-01,-1.942055E-05,+1.800000E+00,+6.540124E-05
+1.060000E-01,-1.941632E-05,+1.800000E+00,+6.539680E-05
+1.070000E-01,-1.943778E-05,+1.800000E+00,+6.544718E-05
+1.080000E-01,-1.943799E-05,+1.800000E+00,+6.545053E-05
+1.090000E-01,-1.941403E-05,+1.800000E+00,+6.539060E-05
+1.100000E-01,-1.942707E-05,+1.800000E+00,+6.542275E-05
+1.110000E-01,-1.943891E-05,+1.800000E+00,+6.545056E-05
+1.120000E-01,-1.941928E-05,+1.800000E+00,+6.540489E-05
+1.130000E-01,-1.942445E-05,+1.800000E+00,+6.541147E-05
+1.140000E-01,-1.941892E-05,+1.800000E+00,+6.540906E-05
+1.150000E-01,-1.942532E-05,+1.800000E+00,+6.542097E-05
+1.160000E-01,-1.942112E-05,+1.800000E+00,+6.540986E-05
+1.170000E-01,-1.942627E-05,+1.800000E+00,+6.542357E-05
+1.180000E-01,-1.943881E-05,+1.800000E+00,+6.544431E-05
+1.190000E-01,-1.944049E-05,+1.800000E+00,+6.544710E-05
+1.200000E-01,-1.943060E-05,+1.800000E+00,+6.541748E-05
+1.210000E-01,-1.941561E-05,+1.800000E+00,+6.538825E-05
+1.220000E-01,-1.942574E-05,+1.800000E+00,+6.541669E-05
+1.230000E-01,-1.942957E-05,+1.800000E+00,+6.542430E-05
+1.240000E-01,-1.943501E-05,+1.800000E+00,+6.542402E-05
+1.250000E-01,-1.942847E-05,+1.800000E+00,+6.540414E-05
+1.260000E-01,-1.943953E-05,+1.800000E+00,+6.542728E-05
+1.270000E-01,-1.943387E-05,+1.800000E+00,+6.541483E-05
+1.280000E-01,-1.942381E-05,+1.800000E+00,+6.541015E-05
+1.290000E-01,-1.943127E-05,+1.800000E+00,+6.541220E-05
+1.300000E-01,-1.943463E-05,+1.800000E+00,+6.543592E-05
+1.310000E-01,-1.943714E-05,+1.800000E+00,+6.543751E-05
+1.320000E-01,-1.943892E-05,+1.800000E+00,+6.543795E-05
+1.330000E-01,-1.943877E-05,+1.800000E+00,+6.543901E-05
+1.340000E-01,-1.942204E-05,+1.800000E+00,+6.539981E-05
+1.350000E-01,-1.941536E-05,+1.800000E+00,+6.538974E-05
+1.360000E-01,-1.942897E-05,+1.800000E+00,+6.543066E-05
+1.370000E-01,-1.942884E-05,+1.800000E+00,+6.542301E-05
+1.380000E-01,-1.943738E-05,+1.800000E+00,+6.544289E-05
+1.390000E-01,-1.944030E-05,+1.800000E+00,+6.544404E-05
+1.400000E-01,-1.943478E-05,+1.800000E+00,+6.540879E-05
+1.410000E-01,-1.943002E-05,+1.800000E+00,+6.542863E-05
+1.420000E-01,-1.941955E-05,+1.800000E+00,+6.539908E-05
+1.430000E-01,-1.941433E-05,+1.800000E+00,+6.537534E-05
+1.440000E-01,-1.942559E-05,+1.800000E+00,+6.539786E-05
+1.450000E-01,-1.942720E-05,+1.800000E+00,+6.540556E-05
+1.460000E-01,-1.941187E-05,+1.800000E+00,+6.537014E-05
+1.470000E-01,-1.943340E-05,+1.800000E+00,+6.542524E-05
+1.480000E-01,-1.942847E-05,+1.800000E+00,+6.540490E-05
+1.490000E-01,-1.943297E-05,+1.800000E+00,+6.540897E-05
+1.500000E-01,-1.942736E-05,+1.800000E+00,+6.540617E-05
+1.510000E-01,-1.942908E-05,+1.800000E+00,+6.539463E-05
+1.520000E-01,-1.943469E-05,+1.800000E+00,+6.541183E-05
+1.530000E-01,-1.942774E-05,+1.800000E+00,+6.540412E-05
+1.540000E-01,-1.941697E-05,+1.800000E+00,+6.537517E-05
+1.550000E-01,-1.942906E-05,+1.800000E+00,+6.541883E-05
+1.560000E-01,-1.943212E-05,+1.800000E+00,+6.540861E-05
+1.570000E-01,-1.943062E-05,+1.800000E+00,+6.541046E-05
+1.580000E-01,-1.943453E-05,+1.800000E+00,+6.542421E-05
+1.590000E-01,-1.944203E-05,+1.800000E+00,+6.544033E-05
+1.600000E-01,-1.943516E-05,+1.800000E+00,+6.542345E-05
+1.610000E-01,-1.943425E-05,+1.800000E+00,+6.542296E-05
+1.620000E-01,-1.944145E-05,+1.800000E+00,+6.543631E-05
+1.630000E-01,-1.943384E-05,+1.800000E+00,+6.541273E-05
+1.640000E-01,-1.943661E-05,+1.800000E+00,+6.541395E-05
+1.650000E-01,-1.942479E-05,+1.800000E+00,+6.538175E-05
+1.660000E-01,-1.942452E-05,+1.800000E+00,+6.538363E-05
