VDD,IDD,VREF,IREF
+1.800000E+00,+4.972787E-05,+0.000000E+00,-1.461196E-05
+1.799000E+00,+4.968549E-05,+0.000000E+00,-1.460441E-05
+1.798000E+00,+4.964294E-05,+0.000000E+00,-1.461780E-05
+1.797000E+00,+4.957196E-05,+0.000000E+00,-1.460912E-05
+1.796000E+00,+4.955054E-05,+0.000000E+00,-1.460769E-05
+1.795000E+00,+4.954064E-05,+0.000000E+00,-1.461412E-05
+1.794000E+00,+4.949971E-05,+0.000000E+00,-1.461290E-05
+1.793000E+00,+4.947352E-05,+0.000000E+00,-1.460794E-05
+1.792000E+00,+4.946027E-05,+0.000000E+00,-1.461170E-05
+1.791000E+00,+4.944772E-05,+0.000000E+00,-1.461167E-05
+1.790000E+00,+4.942392E-05,+0.000000E+00,-1.461293E-05
+1.789000E+00,+4.941217E-05,+0.000000E+00,-1.461052E-05
+1.788000E+00,+4.939281E-05,+0.000000E+00,-1.459622E-05
+1.787000E+00,+4.941566E-05,+0.000000E+00,-1.460712E-05
+1.786000E+00,+4.939342E-05,+0.000000E+00,-1.460822E-05
+1.785000E+00,+4.940385E-05,+0.000000E+00,-1.460317E-05
+1.784000E+00,+4.939921E-05,+0.000000E+00,-1.461092E-05
+1.783000E+00,+4.940187E-05,+0.000000E+00,-1.461116E-05
+1.782000E+00,+4.941164E-05,+0.000000E+00,-1.461902E-05
+1.781000E+00,+4.939252E-05,+0.000000E+00,-1.461454E-05
+1.780000E+00,+4.938674E-05,+0.000000E+00,-1.461531E-05
+1.779000E+00,+4.937656E-05,+0.000000E+00,-1.461782E-05
+1.778000E+00,+4.936080E-05,+0.000000E+00,-1.460940E-05
+1.777000E+00,+4.935975E-05,+0.000000E+00,-1.461027E-05
+1.776000E+00,+4.935598E-05,+0.000000E+00,-1.462049E-05
+1.775000E+00,+4.935853E-05,+0.000000E+00,-1.460665E-05
+1.774000E+00,+4.935087E-05,+0.000000E+00,-1.461348E-05
+1.773000E+00,+4.933836E-05,+0.000000E+00,-1.461040E-05
+1.772000E+00,+4.934002E-05,+0.000000E+00,-1.460368E-05
+1.771000E+00,+4.934825E-05,+0.000000E+00,-1.461366E-05
+1.770000E+00,+4.933942E-05,+0.000000E+00,-1.461254E-05
+1.769000E+00,+4.933957E-05,+0.000000E+00,-1.460968E-05
+1.768000E+00,+4.933827E-05,+0.000000E+00,-1.461404E-05
+1.767000E+00,+4.933650E-05,+0.000000E+00,-1.461198E-05
+1.766000E+00,+4.934046E-05,+0.000000E+00,-1.461139E-05
+1.765000E+00,+4.933332E-05,+0.000000E+00,-1.461085E-05
+1.764000E+00,+4.932918E-05,+0.000000E+00,-1.460786E-05
+1.763000E+00,+4.931471E-05,+0.000000E+00,-1.460811E-05
+1.762000E+00,+4.932419E-05,+0.000000E+00,-1.461800E-05
+1.761000E+00,+4.930165E-05,+0.000000E+00,-1.460461E-05
+1.760000E+00,+4.931207E-05,+0.000000E+00,-1.460276E-05
+1.759000E+00,+4.930193E-05,+0.000000E+00,-1.460419E-05
+1.758000E+00,+4.934506E-05,+0.000000E+00,-1.459924E-05
+1.757000E+00,+4.934242E-05,+0.000000E+00,-1.462023E-05
+1.756000E+00,+4.932221E-05,+0.000000E+00,-1.461476E-05
+1.755000E+00,+4.933724E-05,+0.000000E+00,-1.461736E-05
+1.754000E+00,+4.931718E-05,+0.000000E+00,-1.461891E-05
+1.753000E+00,+4.933628E-05,+0.000000E+00,-1.461352E-05
+1.752000E+00,+4.933104E-05,+0.000000E+00,-1.462048E-05
+1.751000E+00,+4.932484E-05,+0.000000E+00,-1.461773E-05
+1.750000E+00,+4.932538E-05,+0.000000E+00,-1.461474E-05
+1.749000E+00,+4.932332E-05,+0.000000E+00,-1.461245E-05
+1.748000E+00,+4.931135E-05,+0.000000E+00,-1.461088E-05
+1.747000E+00,+4.932895E-05,+0.000000E+00,-1.460347E-05
+1.746000E+00,+4.929439E-05,+0.000000E+00,-1.461501E-05
+1.745000E+00,+4.929885E-05,+0.000000E+00,-1.460671E-05
+1.744000E+00,+4.929516E-05,+0.000000E+00,-1.460664E-05
+1.743000E+00,+4.928793E-05,+0.000000E+00,-1.460096E-05
+1.742000E+00,+4.927373E-05,+0.000000E+00,-1.460197E-05
+1.741000E+00,+4.928528E-05,+0.000000E+00,-1.460976E-05
+1.740000E+00,+4.928391E-05,+0.000000E+00,-1.460857E-05
+1.739000E+00,+4.928100E-05,+0.000000E+00,-1.460058E-05
+1.738000E+00,+4.930684E-05,+0.000000E+00,-1.460902E-05
+1.737000E+00,+4.928125E-05,+0.000000E+00,-1.461244E-05
+1.736000E+00,+4.928629E-05,+0.000000E+00,-1.461051E-05
+1.735000E+00,+4.928243E-05,+0.000000E+00,-1.460894E-05
+1.734000E+00,+4.929672E-05,+0.000000E+00,-1.460962E-05
+1.733000E+00,+4.929091E-05,+0.000000E+00,-1.461568E-05
+1.732000E+00,+4.929474E-05,+0.000000E+00,-1.460799E-05
+1.731000E+00,+4.928374E-05,+0.000000E+00,-1.461007E-05
+1.730000E+00,+4.931035E-05,+0.000000E+00,-1.461660E-05
+1.729000E+00,+4.927831E-05,+0.000000E+00,-1.460868E-05
+1.728000E+00,+4.927794E-05,+0.000000E+00,-1.459924E-05
+1.727000E+00,+4.926789E-05,+0.000000E+00,-1.460620E-05
+1.726000E+00,+4.925835E-05,+0.000000E+00,-1.460398E-05
+1.725000E+00,+4.925589E-05,+0.000000E+00,-1.460627E-05
+1.724000E+00,+4.925608E-05,+0.000000E+00,-1.460311E-05
+1.723000E+00,+4.925954E-05,+0.000000E+00,-1.460012E-05
+1.722000E+00,+4.926917E-05,+0.000000E+00,-1.460528E-05
+1.721000E+00,+4.923969E-05,+0.000000E+00,-1.460878E-05
+1.720000E+00,+4.923589E-05,+0.000000E+00,-1.460091E-05
+1.719000E+00,+4.922489E-05,+0.000000E+00,-1.459174E-05
+1.718000E+00,+4.922472E-05,+0.000000E+00,-1.459523E-05
+1.717000E+00,+4.924433E-05,+0.000000E+00,-1.459321E-05
+1.716000E+00,+4.923893E-05,+0.000000E+00,-1.458895E-05
+1.715000E+00,+4.924589E-05,+0.000000E+00,-1.459457E-05
+1.714000E+00,+4.924543E-05,+0.000000E+00,-1.459603E-05
+1.713000E+00,+4.923753E-05,+0.000000E+00,-1.459542E-05
+1.712000E+00,+4.923583E-05,+0.000000E+00,-1.459808E-05
+1.711000E+00,+4.925870E-05,+0.000000E+00,-1.459602E-05
+1.710000E+00,+4.925032E-05,+0.000000E+00,-1.460043E-05
+1.709000E+00,+4.924407E-05,+0.000000E+00,-1.460175E-05
+1.708000E+00,+4.924669E-05,+0.000000E+00,-1.460220E-05
+1.707000E+00,+4.923935E-05,+0.000000E+00,-1.459914E-05
+1.706000E+00,+4.924796E-05,+0.000000E+00,-1.459544E-05
+1.705000E+00,+4.924867E-05,+0.000000E+00,-1.459959E-05
+1.704000E+00,+4.925128E-05,+0.000000E+00,-1.459822E-05
+1.703000E+00,+4.924417E-05,+0.000000E+00,-1.459848E-05
+1.702000E+00,+4.924329E-05,+0.000000E+00,-1.460293E-05
+1.701000E+00,+4.925939E-05,+0.000000E+00,-1.459464E-05
+1.700000E+00,+4.924128E-05,+0.000000E+00,-1.460088E-05
+1.699000E+00,+4.923518E-05,+0.000000E+00,-1.458683E-05
+1.698000E+00,+4.924324E-05,+0.000000E+00,-1.458917E-05
+1.697000E+00,+4.922806E-05,+0.000000E+00,-1.459237E-05
+1.696000E+00,+4.923838E-05,+0.000000E+00,-1.458837E-05
+1.695000E+00,+4.922629E-05,+0.000000E+00,-1.458783E-05
+1.694000E+00,+4.921267E-05,+0.000000E+00,-1.458739E-05
+1.693000E+00,+4.922946E-05,+0.000000E+00,-1.459258E-05
+1.692000E+00,+4.921525E-05,+0.000000E+00,-1.459672E-05
+1.691000E+00,+4.923685E-05,+0.000000E+00,-1.459309E-05
+1.690000E+00,+4.921787E-05,+0.000000E+00,-1.459460E-05
+1.689000E+00,+4.922925E-05,+0.000000E+00,-1.458761E-05
+1.688000E+00,+4.922896E-05,+0.000000E+00,-1.459805E-05
+1.687000E+00,+4.923149E-05,+0.000000E+00,-1.459247E-05
+1.686000E+00,+4.924461E-05,+0.000000E+00,-1.460207E-05
+1.685000E+00,+4.924896E-05,+0.000000E+00,-1.459573E-05
+1.684000E+00,+4.924914E-05,+0.000000E+00,-1.459588E-05
+1.683000E+00,+4.923654E-05,+0.000000E+00,-1.460285E-05
+1.682000E+00,+4.924273E-05,+0.000000E+00,-1.459710E-05
+1.681000E+00,+4.924510E-05,+0.000000E+00,-1.459723E-05
+1.680000E+00,+4.924311E-05,+0.000000E+00,-1.459924E-05
+1.679000E+00,+4.921782E-05,+0.000000E+00,-1.459444E-05
+1.678000E+00,+4.921747E-05,+0.000000E+00,-1.459187E-05
+1.677000E+00,+4.921339E-05,+0.000000E+00,-1.459163E-05
+1.676000E+00,+4.923038E-05,+0.000000E+00,-1.459019E-05
+1.675000E+00,+4.921863E-05,+0.000000E+00,-1.459693E-05
+1.674000E+00,+4.923762E-05,+0.000000E+00,-1.460409E-05
+1.673000E+00,+4.924536E-05,+0.000000E+00,-1.459585E-05
+1.672000E+00,+4.922216E-05,+0.000000E+00,-1.460081E-05
+1.671000E+00,+4.920466E-05,+0.000000E+00,-1.459215E-05
+1.670000E+00,+4.920222E-05,+0.000000E+00,-1.459044E-05
+1.669000E+00,+4.921603E-05,+0.000000E+00,-1.458928E-05
