VDD,IDD,VREF,IREF
+0.000000E+00,-6.810820E-08,+0.000000E+00,-7.401790E-11
+1.000000E-03,-5.978812E-08,+0.000000E+00,+1.664024E-11
+2.000000E-03,-4.953256E-08,+0.000000E+00,-1.042362E-10
+3.000000E-03,-4.466621E-08,+0.000000E+00,-7.905349E-11
+4.000000E-03,-4.302737E-08,+0.000000E+00,-1.646733E-10
+5.000000E-03,-4.725527E-08,+0.000000E+00,-1.042358E-10
+6.000000E-03,-4.551581E-08,+0.000000E+00,+1.529998E-12
+7.000000E-03,-4.419370E-08,+0.000000E+00,-1.445279E-10
+8.000000E-03,-4.093098E-08,+0.000000E+00,-1.042363E-10
+9.000000E-03,-4.082038E-08,+0.000000E+00,-5.890755E-11
+1.000000E-02,-4.659161E-08,+0.000000E+00,-8.408924E-11
+1.100000E-02,-5.204613E-08,+0.000000E+00,-1.898545E-10
+1.200000E-02,-5.615854E-08,+0.000000E+00,-1.797826E-10
+1.300000E-02,-5.387106E-08,+0.000000E+00,-1.646731E-10
+1.400000E-02,-4.775288E-08,+0.000000E+00,-1.092723E-10
+1.500000E-02,-4.637046E-08,+0.000000E+00,-1.848189E-10
+1.600000E-02,-4.609395E-08,+0.000000E+00,-8.912598E-11
+1.700000E-02,-4.750659E-08,+0.000000E+00,-1.092715E-10
+1.800000E-02,-4.700386E-08,+0.000000E+00,-1.193452E-10
+1.900000E-02,-4.081033E-08,+0.000000E+00,-1.495639E-10
+2.000000E-02,-3.414921E-08,+0.000000E+00,-1.143087E-10
+2.100000E-02,-2.907678E-08,+0.000000E+00,-1.243808E-10
+2.200000E-02,-2.977050E-08,+0.000000E+00,-8.912621E-11
+2.300000E-02,-3.357614E-08,+0.000000E+00,-1.596356E-10
+2.400000E-02,-3.668299E-08,+0.000000E+00,-1.193437E-10
+2.500000E-02,-3.342531E-08,+0.000000E+00,-2.603643E-10
+2.600000E-02,-3.085139E-08,+0.000000E+00,-1.495637E-10
+2.700000E-02,-2.992637E-08,+0.000000E+00,-1.596372E-10
+2.800000E-02,-3.572780E-08,+0.000000E+00,-1.546003E-10
+2.900000E-02,-3.989037E-08,+0.000000E+00,-9.919965E-11
+3.000000E-02,-4.468130E-08,+0.000000E+00,-1.193446E-10
+3.100000E-02,-4.237381E-08,+0.000000E+00,-1.143081E-10
+3.200000E-02,-4.123262E-08,+0.000000E+00,-1.445268E-10
+3.300000E-02,-3.833691E-08,+0.000000E+00,-1.646726E-10
+3.400000E-02,-3.750747E-08,+0.000000E+00,-1.495633E-10
