VDD,IDD,VREF,IREF
+0.000000E+00,+4.504336E-09,+0.000000E+00,+1.224352E-10
+1.000000E-03,+1.443151E-09,+0.000000E+00,+5.192247E-11
+2.000000E-03,-5.579466E-09,+0.000000E+00,+7.710621E-11
+3.000000E-03,-3.402695E-09,+0.000000E+00,+1.425813E-10
+4.000000E-03,+7.344028E-10,+0.000000E+00,+7.206991E-11
+5.000000E-03,+3.745324E-09,+0.000000E+00,+3.177780E-11
+6.000000E-03,+1.091291E-09,+0.000000E+00,+9.221646E-11
+7.000000E-03,-5.946454E-09,+0.000000E+00,+7.206902E-11
+8.000000E-03,-3.623891E-09,+0.000000E+00,+8.717982E-11
+9.000000E-03,+5.534457E-10,+0.000000E+00,+1.627286E-10
+1.000000E-02,+3.820731E-09,+0.000000E+00,+6.199663E-11
+1.100000E-02,+4.780438E-10,+0.000000E+00,+4.185052E-11
+1.200000E-02,-5.830830E-09,+0.000000E+00,+1.627292E-10
+1.300000E-02,-3.563563E-09,+0.000000E+00,+1.425825E-10
+1.400000E-02,+5.082073E-10,+0.000000E+00,+1.173988E-10
+1.500000E-02,+3.549287E-09,+0.000000E+00,+5.192446E-11
+1.600000E-02,+1.232037E-09,+0.000000E+00,+5.696010E-11
+1.700000E-02,-5.328109E-09,+0.000000E+00,+1.022888E-10
+1.800000E-02,-3.392641E-09,+0.000000E+00,+6.703360E-11
+1.900000E-02,+8.500147E-10,+0.000000E+00,+1.425828E-10
+2.000000E-02,+3.996652E-09,+0.000000E+00,+6.199607E-11
+2.100000E-02,+1.619083E-09,+0.000000E+00,+1.173996E-10
+2.200000E-02,-5.242644E-09,+0.000000E+00,+1.224360E-10
+2.300000E-02,-3.442911E-09,+0.000000E+00,+7.206935E-11
+2.400000E-02,+2.126764E-09,+0.000000E+00,+3.681355E-11
+2.500000E-02,+4.046926E-09,+0.000000E+00,+1.022886E-10
+2.600000E-02,+6.539771E-10,+0.000000E+00,+5.192369E-11
+2.700000E-02,-5.237617E-09,+0.000000E+00,+7.206935E-11
+2.800000E-02,-2.824565E-09,+0.000000E+00,+1.325089E-10
+2.900000E-02,+2.126768E-09,+0.000000E+00,+1.576923E-10
+3.000000E-02,+3.579451E-09,+0.000000E+00,+1.173992E-10
+3.100000E-02,+1.593951E-09,+0.000000E+00,+6.703282E-11
+3.200000E-02,-6.077160E-09,+0.000000E+00,+1.778391E-10
+3.300000E-02,-3.317234E-09,+0.000000E+00,+1.425834E-10
+3.400000E-02,+2.232326E-09,+0.000000E+00,+1.073260E-10
+3.500000E-02,+4.263059E-09,+0.000000E+00,+7.207046E-11
+3.600000E-02,+1.121449E-09,+0.000000E+00,+1.073267E-10
+3.700000E-02,-5.695093E-09,+0.000000E+00,+1.022901E-10
+3.800000E-02,-2.683806E-09,+0.000000E+00,+1.224365E-10
+3.900000E-02,+2.227299E-09,+0.000000E+00,+1.174003E-10
+4.000000E-02,+3.297966E-09,+0.000000E+00,+1.556866E-12
+4.100000E-02,+1.342618E-09,+0.000000E+00,+5.696021E-11
+4.200000E-02,-5.458816E-09,+0.000000E+00,+7.710588E-11
+4.300000E-02,-2.507853E-09,+0.000000E+00,+1.022884E-10
+4.400000E-02,+2.719904E-09,+0.000000E+00,+1.073256E-10
+4.500000E-02,+3.418598E-09,+0.000000E+00,+8.214229E-11
+4.600000E-02,+1.051077E-09,+0.000000E+00,+8.717993E-11
+4.700000E-02,-5.775523E-09,+0.000000E+00,+9.725321E-11
+4.800000E-02,-4.810306E-09,+0.000000E+00,+3.177736E-11
+4.900000E-02,+3.056685E-09,+0.000000E+00,+1.022893E-10
+5.000000E-02,+2.966205E-09,+0.000000E+00,+1.022913E-10
+5.100000E-02,+1.161323E-10,+0.000000E+00,+1.073264E-10
+5.200000E-02,-5.901209E-09,+0.000000E+00,+1.224350E-10
+5.300000E-02,-3.161386E-09,+0.000000E+00,+1.375454E-10
+5.400000E-02,+2.925995E-09,+0.000000E+00,+2.080583E-10
+5.500000E-02,+3.765438E-09,+0.000000E+00,+1.174004E-10
+5.600000E-02,+1.352674E-09,+0.000000E+00,+9.221701E-11
+5.700000E-02,-5.458817E-09,+0.000000E+00,+1.375466E-10
+5.800000E-02,-2.603370E-09,+0.000000E+00,+1.325083E-10
+5.900000E-02,+3.282880E-09,+0.000000E+00,+3.177625E-11
+6.000000E-02,+3.549287E-09,+0.000000E+00,+7.710643E-11
+6.100000E-02,+4.076746E-10,+0.000000E+00,+1.476188E-10
+6.200000E-02,-4.951070E-09,+0.000000E+00,+7.207057E-11
+6.300000E-02,-2.593316E-09,+0.000000E+00,+8.214307E-11
+6.400000E-02,+2.483651E-09,+0.000000E+00,+1.173986E-10
+6.500000E-02,+2.815411E-09,+0.000000E+00,+1.123622E-10
+6.600000E-02,+9.706496E-10,+0.000000E+00,+1.375459E-10
+6.700000E-02,-6.097270E-09,+0.000000E+00,+2.433138E-10
+6.800000E-02,-2.432445E-09,+0.000000E+00,+1.073256E-10
+6.900000E-02,+3.318063E-09,+0.000000E+00,+8.718037E-11
+7.000000E-02,+3.167274E-09,+0.000000E+00,+1.627302E-10
+7.100000E-02,+8.299064E-10,+0.000000E+00,+1.526551E-10
+7.200000E-02,-5.252706E-09,+0.000000E+00,+4.185041E-11
+7.300000E-02,-3.709354E-09,+0.000000E+00,+1.666789E-11
+7.400000E-02,+3.986599E-09,+0.000000E+00,+7.206902E-11
+7.500000E-02,+3.287908E-09,+0.000000E+00,+1.325083E-10
+7.600000E-02,-2.910222E-10,+0.000000E+00,+9.725420E-11
+7.700000E-02,-4.835440E-09,+0.000000E+00,+4.184952E-11
+7.800000E-02,-2.548070E-09,+0.000000E+00,+2.433136E-10
+7.900000E-02,+3.338174E-09,+0.000000E+00,+3.177791E-11
+8.000000E-02,+2.880752E-09,+0.000000E+00,+4.185052E-11
+8.100000E-02,-1.251441E-10,+0.000000E+00,+1.022911E-10
+8.200000E-02,-4.574027E-09,+0.000000E+00,+1.073267E-10
+8.300000E-02,-2.497799E-09,+0.000000E+00,+1.123632E-10
+8.400000E-02,+3.820729E-09,+0.000000E+00,+8.214451E-11
+8.500000E-02,+3.292930E-09,+0.000000E+00,+3.681377E-11
+8.600000E-02,+3.222220E-10,+0.000000E+00,+1.576916E-10
+8.700000E-02,-4.247261E-09,+0.000000E+00,+1.476191E-10
+8.800000E-02,-2.522935E-09,+0.000000E+00,+7.710577E-11
+8.900000E-02,+3.966493E-09,+0.000000E+00,+7.207124E-11
+9.000000E-02,+4.087136E-09,+0.000000E+00,+2.181311E-10
+9.100000E-02,-1.955180E-10,+0.000000E+00,+1.325109E-10
+9.200000E-02,-5.036528E-09,+0.000000E+00,+9.221690E-11
+9.300000E-02,-2.789377E-09,+0.000000E+00,+1.173981E-10
+9.400000E-02,+3.916223E-09,+0.000000E+00,+1.627279E-10
+9.500000E-02,+2.493706E-09,+0.000000E+00,+1.173994E-10
+9.600000E-02,-4.418177E-10,+0.000000E+00,+9.221590E-11
+9.700000E-02,-4.292506E-09,+0.000000E+00,+2.231666E-10
+9.800000E-02,-1.356657E-09,+0.000000E+00,+1.123631E-10
+9.900000E-02,+5.077368E-09,+0.000000E+00,+5.192224E-11
+1.000000E-01,+3.217530E-09,+0.000000E+00,+1.022897E-10
+1.010000E-01,-1.050036E-09,+0.000000E+00,+6.594059E-12
+1.020000E-01,-4.749981E-09,+0.000000E+00,+1.375453E-10
+1.030000E-01,-2.713968E-09,+0.000000E+00,-8.514967E-12
+1.040000E-01,+4.504342E-09,+0.000000E+00,+3.177780E-11
+1.050000E-01,+2.820432E-09,+0.000000E+00,+9.725143E-11
+1.060000E-01,-1.301365E-09,+0.000000E+00,+1.828753E-10
+1.070000E-01,-4.393047E-09,+0.000000E+00,+1.576915E-10
+1.080000E-01,-2.321847E-09,+0.000000E+00,+2.170297E-11
+1.090000E-01,+4.313328E-09,+0.000000E+00,+1.274721E-10
+1.100000E-01,+2.026234E-09,+0.000000E+00,+1.073260E-10
+1.110000E-01,-1.587880E-09,+0.000000E+00,+1.627292E-10
+1.120000E-01,-3.960712E-09,+0.000000E+00,+1.022886E-10
+1.130000E-01,-1.150567E-09,+0.000000E+00,+8.717993E-11
+1.140000E-01,+4.966783E-09,+0.000000E+00,+1.274726E-10
+1.150000E-01,+2.428362E-09,+0.000000E+00,+6.199663E-11
+1.160000E-01,-1.924699E-09,+0.000000E+00,+1.828750E-10
+1.170000E-01,-4.589107E-09,+0.000000E+00,+1.173989E-10
+1.180000E-01,-2.834621E-09,+0.000000E+00,+8.718026E-11
+1.190000E-01,+3.886073E-09,+0.000000E+00,+1.325102E-10
+1.200000E-01,+2.795295E-09,+0.000000E+00,+9.221590E-11
+1.210000E-01,-9.947436E-10,+0.000000E+00,+1.526563E-10
+1.220000E-01,-4.956094E-09,+0.000000E+00,+1.325099E-10
+1.230000E-01,-1.829183E-09,+0.000000E+00,+1.375454E-10
+1.240000E-01,+5.474477E-09,+0.000000E+00,+4.184975E-11
+1.250000E-01,+3.418600E-09,+0.000000E+00,+6.703216E-11
+1.260000E-01,-1.175700E-09,+0.000000E+00,+6.199719E-11
+1.270000E-01,-4.513703E-09,+0.000000E+00,+8.717993E-11
+1.280000E-01,-1.467242E-09,+0.000000E+00,+9.221623E-11
+1.290000E-01,+5.590080E-09,+0.000000E+00,+9.221646E-11
+1.300000E-01,+3.167274E-09,+0.000000E+00,+1.224371E-10
+1.310000E-01,-1.909618E-09,+0.000000E+00,+1.576914E-10
+1.320000E-01,-4.191963E-09,+0.000000E+00,+1.828756E-10
+1.330000E-01,-2.130815E-09,+0.000000E+00,+6.199719E-11
+1.340000E-01,+5.228170E-09,+0.000000E+00,+7.207057E-11
+1.350000E-01,+2.946094E-09,+0.000000E+00,+1.073259E-10
+1.360000E-01,-1.819129E-09,+0.000000E+00,+8.717960E-11
+1.370000E-01,-3.457992E-09,+0.000000E+00,+1.375459E-10
+1.380000E-01,-1.990053E-09,+0.000000E+00,+1.274730E-10
+1.390000E-01,+5.022076E-09,+0.000000E+00,+1.174003E-10
+1.400000E-01,+2.589213E-09,+0.000000E+00,+5.696066E-11
+1.410000E-01,-1.939781E-09,+0.000000E+00,+8.717937E-11
+1.420000E-01,-3.684216E-09,+0.000000E+00,+6.199763E-11
+1.430000E-01,-1.733667E-09,+0.000000E+00,+1.576920E-10
+1.440000E-01,+5.348808E-09,+0.000000E+00,+8.214263E-11
