VREF,IREF,VDD,IDD
+0.000000E+00,-4.450774E-06,+1.800000E+00,+1.488395E-05
+1.000000E-03,-4.450877E-06,+1.800000E+00,+1.488501E-05
+2.000000E-03,-4.451800E-06,+1.800000E+00,+1.489123E-05
+3.000000E-03,-4.452387E-06,+1.800000E+00,+1.489171E-05
+4.000000E-03,-4.451650E-06,+1.800000E+00,+1.488954E-05
+5.000000E-03,-4.457513E-06,+1.800000E+00,+1.490530E-05
+6.000000E-03,-4.451324E-06,+1.800000E+00,+1.488589E-05
+7.000000E-03,-4.450882E-06,+1.800000E+00,+1.488494E-05
+8.000000E-03,-4.450073E-06,+1.800000E+00,+1.488622E-05
+9.000000E-03,-4.451000E-06,+1.800000E+00,+1.488400E-05
+1.000000E-02,-4.450990E-06,+1.800000E+00,+1.488665E-05
+1.100000E-02,-4.450067E-06,+1.800000E+00,+1.488297E-05
+1.200000E-02,-4.450555E-06,+1.800000E+00,+1.488112E-05
+1.300000E-02,-4.451716E-06,+1.800000E+00,+1.488335E-05
+1.400000E-02,-4.450090E-06,+1.800000E+00,+1.488217E-05
+1.500000E-02,-4.450504E-06,+1.800000E+00,+1.488242E-05
+1.600000E-02,-4.451149E-06,+1.800000E+00,+1.488280E-05
+1.700000E-02,-4.449653E-06,+1.800000E+00,+1.488136E-05
+1.800000E-02,-4.449278E-06,+1.800000E+00,+1.488174E-05
+1.900000E-02,-4.450480E-06,+1.800000E+00,+1.488490E-05
+2.000000E-02,-4.450851E-06,+1.800000E+00,+1.488517E-05
+2.100000E-02,-4.450145E-06,+1.800000E+00,+1.488166E-05
+2.200000E-02,-4.451138E-06,+1.800000E+00,+1.488445E-05
+2.300000E-02,-4.451203E-06,+1.800000E+00,+1.488681E-05
+2.400000E-02,-4.451503E-06,+1.800000E+00,+1.488749E-05
+2.500000E-02,-4.450512E-06,+1.800000E+00,+1.488528E-05
+2.600000E-02,-4.450637E-06,+1.800000E+00,+1.488521E-05
+2.700000E-02,-4.449916E-06,+1.800000E+00,+1.488330E-05
+2.800000E-02,-4.450278E-06,+1.800000E+00,+1.488347E-05
+2.900000E-02,-4.450170E-06,+1.800000E+00,+1.488379E-05
