VREF,IREF,VDD,IDD
+0.000000E+00,-1.427111E-05,+1.800000E+00,+4.945826E-05
+1.000000E-03,-1.427280E-05,+1.800000E+00,+4.940007E-05
+2.000000E-03,-1.427416E-05,+1.800000E+00,+4.935899E-05
+3.000000E-03,-1.427690E-05,+1.800000E+00,+4.932746E-05
+4.000000E-03,-1.427218E-05,+1.800000E+00,+4.928890E-05
+5.000000E-03,-1.427334E-05,+1.800000E+00,+4.927240E-05
+6.000000E-03,-1.426890E-05,+1.800000E+00,+4.924241E-05
+7.000000E-03,-1.427035E-05,+1.800000E+00,+4.922012E-05
+8.000000E-03,-1.427041E-05,+1.800000E+00,+4.921097E-05
+9.000000E-03,-1.427312E-05,+1.800000E+00,+4.920415E-05
+1.000000E-02,-1.427459E-05,+1.800000E+00,+4.919501E-05
+1.100000E-02,-1.427718E-05,+1.800000E+00,+4.920357E-05
+1.200000E-02,-1.427596E-05,+1.800000E+00,+4.917836E-05
+1.300000E-02,-1.428230E-05,+1.800000E+00,+4.919208E-05
+1.400000E-02,-1.427910E-05,+1.800000E+00,+4.917389E-05
+1.500000E-02,-1.427825E-05,+1.800000E+00,+4.917029E-05
+1.600000E-02,-1.427374E-05,+1.800000E+00,+4.915017E-05
+1.700000E-02,-1.427956E-05,+1.800000E+00,+4.915138E-05
+1.800000E-02,-1.427514E-05,+1.800000E+00,+4.914040E-05
+1.900000E-02,-1.427468E-05,+1.800000E+00,+4.913553E-05
+2.000000E-02,-1.427045E-05,+1.800000E+00,+4.910809E-05
+2.100000E-02,-1.426639E-05,+1.800000E+00,+4.911097E-05
+2.200000E-02,-1.426839E-05,+1.800000E+00,+4.911155E-05
+2.300000E-02,-1.426579E-05,+1.800000E+00,+4.910030E-05
+2.400000E-02,-1.427102E-05,+1.800000E+00,+4.909213E-05
+2.500000E-02,-1.426648E-05,+1.800000E+00,+4.909089E-05
+2.600000E-02,-1.427489E-05,+1.800000E+00,+4.910842E-05
+2.700000E-02,-1.427514E-05,+1.800000E+00,+4.910269E-05
+2.800000E-02,-1.427215E-05,+1.800000E+00,+4.910587E-05
+2.900000E-02,-1.426726E-05,+1.800000E+00,+4.909066E-05
+3.000000E-02,-1.426420E-05,+1.800000E+00,+4.908001E-05
+3.100000E-02,-1.427223E-05,+1.800000E+00,+4.910033E-05
+3.200000E-02,-1.427215E-05,+1.800000E+00,+4.909655E-05
+3.300000E-02,-1.427462E-05,+1.800000E+00,+4.909790E-05
+3.400000E-02,-1.426973E-05,+1.800000E+00,+4.908087E-05
+3.500000E-02,-1.427776E-05,+1.800000E+00,+4.909800E-05
+3.600000E-02,-1.427886E-05,+1.800000E+00,+4.909785E-05
+3.700000E-02,-1.427691E-05,+1.800000E+00,+4.910088E-05
+3.800000E-02,-1.427516E-05,+1.800000E+00,+4.910161E-05
+3.900000E-02,-1.426798E-05,+1.800000E+00,+4.907848E-05
+4.000000E-02,-1.427200E-05,+1.800000E+00,+4.908923E-05
+4.100000E-02,-1.426165E-05,+1.800000E+00,+4.904753E-05
+4.200000E-02,-1.426747E-05,+1.800000E+00,+4.907479E-05
+4.300000E-02,-1.426805E-05,+1.800000E+00,+4.907119E-05
+4.400000E-02,-1.426542E-05,+1.800000E+00,+4.905852E-05
+4.500000E-02,-1.426942E-05,+1.800000E+00,+4.906485E-05
+4.600000E-02,-1.429089E-05,+1.800000E+00,+4.914046E-05
+4.700000E-02,-1.426458E-05,+1.800000E+00,+4.906523E-05
+4.800000E-02,-1.427687E-05,+1.800000E+00,+4.909074E-05
+4.900000E-02,-1.427688E-05,+1.800000E+00,+4.908885E-05
+5.000000E-02,-1.427583E-05,+1.800000E+00,+4.908165E-05
+5.100000E-02,-1.427717E-05,+1.800000E+00,+4.908011E-05
+5.200000E-02,-1.427420E-05,+1.800000E+00,+4.907330E-05
+5.300000E-02,-1.427127E-05,+1.800000E+00,+4.906608E-05
+5.400000E-02,-1.426964E-05,+1.800000E+00,+4.907681E-05
+5.500000E-02,-1.427465E-05,+1.800000E+00,+4.907989E-05
+5.600000E-02,-1.427072E-05,+1.800000E+00,+4.907253E-05
+5.700000E-02,-1.426940E-05,+1.800000E+00,+4.906856E-05
+5.800000E-02,-1.426359E-05,+1.800000E+00,+4.905060E-05
+5.900000E-02,-1.427024E-05,+1.800000E+00,+4.907465E-05
+6.000000E-02,-1.427191E-05,+1.800000E+00,+4.908770E-05
+6.100000E-02,-1.427588E-05,+1.800000E+00,+4.908333E-05
+6.200000E-02,-1.426298E-05,+1.800000E+00,+4.904390E-05
