VDD,IDD,VREF,IREF
+1.800000E+00,+4.901346E-05,+0.000000E+00,-1.426570E-05
+1.799000E+00,+4.901010E-05,+0.000000E+00,-1.425713E-05
+1.798000E+00,+4.900899E-05,+0.000000E+00,-1.426458E-05
+1.797000E+00,+4.899629E-05,+0.000000E+00,-1.426080E-05
+1.796000E+00,+4.900034E-05,+0.000000E+00,-1.426304E-05
+1.795000E+00,+4.900013E-05,+0.000000E+00,-1.426083E-05
+1.794000E+00,+4.899010E-05,+0.000000E+00,-1.425933E-05
+1.793000E+00,+4.900374E-05,+0.000000E+00,-1.426352E-05
+1.792000E+00,+4.900898E-05,+0.000000E+00,-1.426738E-05
+1.791000E+00,+4.900638E-05,+0.000000E+00,-1.426660E-05
+1.790000E+00,+4.898550E-05,+0.000000E+00,-1.426200E-05
+1.789000E+00,+4.900165E-05,+0.000000E+00,-1.426337E-05
+1.788000E+00,+4.898986E-05,+0.000000E+00,-1.425276E-05
+1.787000E+00,+4.901049E-05,+0.000000E+00,-1.425570E-05
+1.786000E+00,+4.901140E-05,+0.000000E+00,-1.426835E-05
+1.785000E+00,+4.901795E-05,+0.000000E+00,-1.426676E-05
+1.784000E+00,+4.900971E-05,+0.000000E+00,-1.426964E-05
+1.783000E+00,+4.899126E-05,+0.000000E+00,-1.426770E-05
+1.782000E+00,+4.899035E-05,+0.000000E+00,-1.426316E-05
+1.781000E+00,+4.903141E-05,+0.000000E+00,-1.427041E-05
+1.780000E+00,+4.901308E-05,+0.000000E+00,-1.426713E-05
+1.779000E+00,+4.901599E-05,+0.000000E+00,-1.426803E-05
+1.778000E+00,+4.900901E-05,+0.000000E+00,-1.426690E-05
+1.777000E+00,+4.901452E-05,+0.000000E+00,-1.426642E-05
+1.776000E+00,+4.901193E-05,+0.000000E+00,-1.427321E-05
+1.775000E+00,+4.902342E-05,+0.000000E+00,-1.426434E-05
+1.774000E+00,+4.901567E-05,+0.000000E+00,-1.426852E-05
+1.773000E+00,+4.903113E-05,+0.000000E+00,-1.426919E-05
+1.772000E+00,+4.904734E-05,+0.000000E+00,-1.426971E-05
+1.771000E+00,+4.902163E-05,+0.000000E+00,-1.427918E-05
+1.770000E+00,+4.900359E-05,+0.000000E+00,-1.426149E-05
+1.769000E+00,+4.900405E-05,+0.000000E+00,-1.426837E-05
+1.768000E+00,+4.898832E-05,+0.000000E+00,-1.426595E-05
+1.767000E+00,+4.901145E-05,+0.000000E+00,-1.426946E-05
+1.766000E+00,+4.901301E-05,+0.000000E+00,-1.426768E-05
+1.765000E+00,+4.897390E-05,+0.000000E+00,-1.426452E-05
+1.764000E+00,+4.899367E-05,+0.000000E+00,-1.425553E-05
+1.763000E+00,+4.899130E-05,+0.000000E+00,-1.426131E-05
+1.762000E+00,+4.897302E-05,+0.000000E+00,-1.425792E-05
+1.761000E+00,+4.897928E-05,+0.000000E+00,-1.425403E-05
+1.760000E+00,+4.897518E-05,+0.000000E+00,-1.425881E-05
+1.759000E+00,+4.897774E-05,+0.000000E+00,-1.425724E-05
+1.758000E+00,+4.902145E-05,+0.000000E+00,-1.425876E-05
+1.757000E+00,+4.900926E-05,+0.000000E+00,-1.426431E-05
+1.756000E+00,+4.899148E-05,+0.000000E+00,-1.426606E-05
+1.755000E+00,+4.899102E-05,+0.000000E+00,-1.426482E-05
+1.754000E+00,+4.899760E-05,+0.000000E+00,-1.426337E-05
+1.753000E+00,+4.899439E-05,+0.000000E+00,-1.426524E-05
+1.752000E+00,+4.899035E-05,+0.000000E+00,-1.426877E-05
+1.751000E+00,+4.899184E-05,+0.000000E+00,-1.426811E-05
+1.750000E+00,+4.899467E-05,+0.000000E+00,-1.426183E-05
+1.749000E+00,+4.899408E-05,+0.000000E+00,-1.426306E-05
+1.748000E+00,+4.898696E-05,+0.000000E+00,-1.426185E-05
+1.747000E+00,+4.899947E-05,+0.000000E+00,-1.426322E-05
+1.746000E+00,+4.899460E-05,+0.000000E+00,-1.426703E-05
+1.745000E+00,+4.899697E-05,+0.000000E+00,-1.426207E-05
+1.744000E+00,+4.898112E-05,+0.000000E+00,-1.425584E-05
+1.743000E+00,+4.897915E-05,+0.000000E+00,-1.426324E-05
+1.742000E+00,+4.897771E-05,+0.000000E+00,-1.425341E-05
+1.741000E+00,+4.897722E-05,+0.000000E+00,-1.425711E-05
+1.740000E+00,+4.900636E-05,+0.000000E+00,-1.426809E-05
+1.739000E+00,+4.899815E-05,+0.000000E+00,-1.426822E-05
+1.738000E+00,+4.896935E-05,+0.000000E+00,-1.426878E-05
+1.737000E+00,+4.898394E-05,+0.000000E+00,-1.425979E-05
+1.736000E+00,+4.899071E-05,+0.000000E+00,-1.426453E-05
+1.735000E+00,+4.899431E-05,+0.000000E+00,-1.426019E-05
