VDD,IDD,VREF,IREF
+0.000000E+00,-9.510515E-09,+0.000000E+00,+7.703727E-11
+1.000000E-03,-8.082835E-09,+0.000000E+00,-2.452827E-10
+2.000000E-03,-8.032570E-09,+0.000000E+00,-1.143414E-10
+3.000000E-03,-5.760332E-09,+0.000000E+00,-8.577583E-12
+4.000000E-03,-4.805195E-09,+0.000000E+00,-1.798101E-10
+5.000000E-03,-3.342321E-09,+0.000000E+00,-7.908491E-11
+6.000000E-03,-1.195817E-09,+0.000000E+00,-2.503192E-10
+7.000000E-03,-1.553413E-10,+0.000000E+00,-3.375888E-11
+8.000000E-03,+1.201802E-09,+0.000000E+00,-6.901513E-11
+9.000000E-03,+3.850739E-09,+0.000000E+00,-2.872447E-11
+1.000000E-02,+2.875610E-09,+0.000000E+00,-1.395219E-10
+1.100000E-02,+1.463176E-09,+0.000000E+00,-1.042660E-10
+1.200000E-02,+1.367674E-09,+0.000000E+00,-6.397910E-11
+1.300000E-02,-6.278290E-10,+0.000000E+00,-1.445583E-10
+1.400000E-02,+9.095502E-11,+0.000000E+00,-1.999563E-10
+1.500000E-02,-2.135828E-09,+0.000000E+00,-1.747748E-10
+1.600000E-02,-2.633506E-09,+0.000000E+00,-2.402475E-10
+1.700000E-02,-1.854313E-09,+0.000000E+00,-1.143395E-10
+1.800000E-02,-2.447505E-09,+0.000000E+00,-1.294490E-10
+1.900000E-02,+7.594723E-10,+0.000000E+00,-9.419449E-11
+2.000000E-02,+1.096245E-09,+0.000000E+00,-1.294492E-10
+2.100000E-02,+1.191749E-09,+0.000000E+00,-6.901274E-11
+2.200000E-02,+2.875607E-09,+0.000000E+00,-2.368561E-11
+2.300000E-02,+5.378779E-09,+0.000000E+00,-1.395206E-10
+2.400000E-02,+4.494124E-09,+0.000000E+00,-2.956443E-10
+2.500000E-02,+4.308151E-09,+0.000000E+00,-1.093030E-10
+2.600000E-02,+4.388570E-09,+0.000000E+00,-1.395236E-10
