VDD,IDD,VREF,IREF
+1.800000E+00,+6.437257E-05,+0.000000E+00,-1.880597E-05
+1.799000E+00,+6.439730E-05,+0.000000E+00,-1.880399E-05
+1.798000E+00,+6.436687E-05,+0.000000E+00,-1.881563E-05
+1.797000E+00,+6.435643E-05,+0.000000E+00,-1.880430E-05
+1.796000E+00,+6.434481E-05,+0.000000E+00,-1.879882E-05
+1.795000E+00,+6.435844E-05,+0.000000E+00,-1.880007E-05
+1.794000E+00,+6.433133E-05,+0.000000E+00,-1.881214E-05
+1.793000E+00,+6.431831E-05,+0.000000E+00,-1.880516E-05
+1.792000E+00,+6.432171E-05,+0.000000E+00,-1.880208E-05
+1.791000E+00,+6.432594E-05,+0.000000E+00,-1.880209E-05
+1.790000E+00,+6.432448E-05,+0.000000E+00,-1.879702E-05
+1.789000E+00,+6.431514E-05,+0.000000E+00,-1.880058E-05
+1.788000E+00,+6.432277E-05,+0.000000E+00,-1.880238E-05
+1.787000E+00,+6.432569E-05,+0.000000E+00,-1.879690E-05
+1.786000E+00,+6.433697E-05,+0.000000E+00,-1.880158E-05
+1.785000E+00,+6.431143E-05,+0.000000E+00,-1.880389E-05
+1.784000E+00,+6.433140E-05,+0.000000E+00,-1.879806E-05
+1.783000E+00,+6.430699E-05,+0.000000E+00,-1.880537E-05
+1.782000E+00,+6.431054E-05,+0.000000E+00,-1.879414E-05
+1.781000E+00,+6.432113E-05,+0.000000E+00,-1.879816E-05
+1.780000E+00,+6.430867E-05,+0.000000E+00,-1.879881E-05
+1.779000E+00,+6.430424E-05,+0.000000E+00,-1.879523E-05
+1.778000E+00,+6.431087E-05,+0.000000E+00,-1.879536E-05
+1.777000E+00,+6.428736E-05,+0.000000E+00,-1.879246E-05
+1.776000E+00,+6.428060E-05,+0.000000E+00,-1.879026E-05
+1.775000E+00,+6.429572E-05,+0.000000E+00,-1.879235E-05
+1.774000E+00,+6.428061E-05,+0.000000E+00,-1.879295E-05
+1.773000E+00,+6.425835E-05,+0.000000E+00,-1.878135E-05
+1.772000E+00,+6.427462E-05,+0.000000E+00,-1.879052E-05
+1.771000E+00,+6.428811E-05,+0.000000E+00,-1.878745E-05
+1.770000E+00,+6.429423E-05,+0.000000E+00,-1.879361E-05
+1.769000E+00,+6.429289E-05,+0.000000E+00,-1.879690E-05
+1.768000E+00,+6.428656E-05,+0.000000E+00,-1.878758E-05
+1.767000E+00,+6.427630E-05,+0.000000E+00,-1.879248E-05
+1.766000E+00,+6.428554E-05,+0.000000E+00,-1.879378E-05
+1.765000E+00,+6.429251E-05,+0.000000E+00,-1.879408E-05
+1.764000E+00,+6.426767E-05,+0.000000E+00,-1.880055E-05
+1.763000E+00,+6.427303E-05,+0.000000E+00,-1.879526E-05
+1.762000E+00,+6.427240E-05,+0.000000E+00,-1.878708E-05
+1.761000E+00,+6.425340E-05,+0.000000E+00,-1.879432E-05
+1.760000E+00,+6.426155E-05,+0.000000E+00,-1.879236E-05
+1.759000E+00,+6.426300E-05,+0.000000E+00,-1.878452E-05
+1.758000E+00,+6.425129E-05,+0.000000E+00,-1.878672E-05
+1.757000E+00,+6.426047E-05,+0.000000E+00,-1.878651E-05
+1.756000E+00,+6.425082E-05,+0.000000E+00,-1.878416E-05
+1.755000E+00,+6.423637E-05,+0.000000E+00,-1.878404E-05
+1.754000E+00,+6.423333E-05,+0.000000E+00,-1.878306E-05
+1.753000E+00,+6.424359E-05,+0.000000E+00,-1.878986E-05
+1.752000E+00,+6.424478E-05,+0.000000E+00,-1.878559E-05
+1.751000E+00,+6.425540E-05,+0.000000E+00,-1.878719E-05
+1.750000E+00,+6.422735E-05,+0.000000E+00,-1.877885E-05
+1.749000E+00,+6.423734E-05,+0.000000E+00,-1.877818E-05
+1.748000E+00,+6.424709E-05,+0.000000E+00,-1.878058E-05
+1.747000E+00,+6.423687E-05,+0.000000E+00,-1.877993E-05
+1.746000E+00,+6.423504E-05,+0.000000E+00,-1.878029E-05
+1.745000E+00,+6.422273E-05,+0.000000E+00,-1.878511E-05
+1.744000E+00,+6.422743E-05,+0.000000E+00,-1.877851E-05
+1.743000E+00,+6.422202E-05,+0.000000E+00,-1.878784E-05
+1.742000E+00,+6.424884E-05,+0.000000E+00,-1.878381E-05
+1.741000E+00,+6.420919E-05,+0.000000E+00,-1.878264E-05
+1.740000E+00,+6.421543E-05,+0.000000E+00,-1.878055E-05
+1.739000E+00,+6.421936E-05,+0.000000E+00,-1.877701E-05
+1.738000E+00,+6.421276E-05,+0.000000E+00,-1.878062E-05
+1.737000E+00,+6.419699E-05,+0.000000E+00,-1.877234E-05
+1.736000E+00,+6.421840E-05,+0.000000E+00,-1.877401E-05
+1.735000E+00,+6.419884E-05,+0.000000E+00,-1.877761E-05
+1.734000E+00,+6.420611E-05,+0.000000E+00,-1.877847E-05
+1.733000E+00,+6.420453E-05,+0.000000E+00,-1.877111E-05
+1.732000E+00,+6.420526E-05,+0.000000E+00,-1.877633E-05
+1.731000E+00,+6.419281E-05,+0.000000E+00,-1.877276E-05
