VDD,IDD,VREF,IREF
+0.000000E+00,-3.350968E-08,+0.000000E+00,-9.923279E-11
+1.000000E-03,-2.539099E-08,+0.000000E+00,-2.301748E-10
+2.000000E-03,-2.359131E-08,+0.000000E+00,-1.093047E-10
+3.000000E-03,-2.364159E-08,+0.000000E+00,-2.402470E-10
+4.000000E-03,-2.246023E-08,+0.000000E+00,-1.848484E-10
+5.000000E-03,-2.496873E-08,+0.000000E+00,-1.546294E-10
+6.000000E-03,-2.397340E-08,+0.000000E+00,-3.107542E-10
+7.000000E-03,-2.335004E-08,+0.000000E+00,-2.805368E-10
+8.000000E-03,-2.081639E-08,+0.000000E+00,-2.805376E-10
+9.000000E-03,-1.739798E-08,+0.000000E+00,-2.704655E-10
+1.000000E-02,-1.635235E-08,+0.000000E+00,-1.999563E-10
+1.100000E-02,-1.567371E-08,+0.000000E+00,-3.409720E-10
+1.200000E-02,-1.390417E-08,+0.000000E+00,-2.402458E-10
+1.300000E-02,-1.044556E-08,+0.000000E+00,-2.553548E-10
+1.400000E-02,-7.610292E-09,+0.000000E+00,-2.301743E-10
+1.500000E-02,-6.680292E-09,+0.000000E+00,-3.510442E-10
+1.600000E-02,-6.293205E-09,+0.000000E+00,-2.755001E-10
+1.700000E-02,-6.670231E-09,+0.000000E+00,-2.301738E-10
+1.800000E-02,-7.635427E-09,+0.000000E+00,-2.704639E-10
+1.900000E-02,-8.143166E-09,+0.000000E+00,-2.906088E-10
+2.000000E-02,-6.665207E-09,+0.000000E+00,-4.064425E-10
+2.100000E-02,-9.309446E-09,+0.000000E+00,-2.251366E-10
+2.200000E-02,-1.117950E-08,+0.000000E+00,-2.805349E-10
+2.300000E-02,-9.661338E-09,+0.000000E+00,-3.510435E-10
+2.400000E-02,-1.215475E-08,+0.000000E+00,-2.755001E-10
+2.500000E-02,-1.019923E-08,+0.000000E+00,-3.208266E-10
+2.600000E-02,-9.108357E-09,+0.000000E+00,-3.560797E-10
+2.700000E-02,-7.283538E-09,+0.000000E+00,-4.568045E-10
+2.800000E-02,-7.162890E-09,+0.000000E+00,-2.956458E-10
+2.900000E-02,-6.966829E-09,+0.000000E+00,-3.208263E-10
+3.000000E-02,-4.578982E-09,+0.000000E+00,-2.402455E-10
+3.100000E-02,-3.256864E-09,+0.000000E+00,-3.359344E-10
+3.200000E-02,+5.031249E-10,+0.000000E+00,-3.611164E-10
+3.300000E-02,+6.740222E-10,+0.000000E+00,-3.762252E-10
+3.400000E-02,+2.654450E-09,+0.000000E+00,-3.661524E-10
+3.500000E-02,+1.664239E-09,+0.000000E+00,-4.568048E-10
+3.600000E-02,-4.978518E-11,+0.000000E+00,-4.265872E-10
+3.700000E-02,+1.663516E-10,+0.000000E+00,-3.762247E-10
+3.800000E-02,-4.921135E-10,+0.000000E+00,-3.862984E-10
+3.900000E-02,-1.944799E-09,+0.000000E+00,-3.611157E-10
+4.000000E-02,-2.030260E-09,+0.000000E+00,-4.366597E-10
+4.100000E-02,-1.934745E-09,+0.000000E+00,-4.618412E-10
+4.200000E-02,-3.995841E-09,+0.000000E+00,-3.762244E-10
+4.300000E-02,-4.252218E-09,+0.000000E+00,-5.122033E-10
+4.400000E-02,-3.905352E-09,+0.000000E+00,-4.014060E-10
+4.500000E-02,-3.111610E-10,+0.000000E+00,-4.215511E-10
+4.600000E-02,+2.518006E-10,+0.000000E+00,-4.568046E-10
+4.700000E-02,+2.317673E-09,+0.000000E+00,-3.913329E-10
+4.800000E-02,+1.659212E-09,+0.000000E+00,-4.114777E-10
+4.900000E-02,+1.714502E-09,+0.000000E+00,-4.165145E-10
+5.000000E-02,+4.976677E-09,+0.000000E+00,-4.517678E-10
+5.100000E-02,+8.203656E-09,+0.000000E+00,-3.661518E-10
+5.200000E-02,+9.877477E-09,+0.000000E+00,-3.913331E-10
