VDD,IDD,VREF,IREF
+0.000000E+00,-9.149828E-05,+0.000000E+00,-1.011162E-05
+1.000000E-03,-1.713407E-07,+0.000000E+00,+8.123026E-10
+2.000000E-03,-8.748983E-08,+0.000000E+00,-3.208369E-10
+3.000000E-03,-5.871510E-08,+0.000000E+00,-3.359414E-10
+4.000000E-03,-4.240236E-08,+0.000000E+00,-5.391282E-11
+5.000000E-03,-3.348440E-08,+0.000000E+00,-3.309064E-10
+6.000000E-03,-2.584835E-08,+0.000000E+00,-5.172400E-10
+7.000000E-03,-2.079116E-08,+0.000000E+00,-5.390310E-11
+8.000000E-03,-1.663379E-08,+0.000000E+00,-7.237249E-10
+9.000000E-03,-1.124481E-08,+0.000000E+00,-1.496174E-10
+1.000000E-02,-8.972590E-09,+0.000000E+00,-3.460099E-10
+1.100000E-02,-6.871280E-09,+0.000000E+00,-1.091383E-09
+1.200000E-02,-8.565396E-09,+0.000000E+00,-2.805391E-10
+1.300000E-02,-8.344214E-09,+0.000000E+00,-5.895134E-11
+1.400000E-02,-8.711182E-09,+0.000000E+00,-8.647397E-10
+1.500000E-02,-9.414974E-09,+0.000000E+00,-6.028583E-10
+1.600000E-02,-9.475305E-09,+0.000000E+00,+6.108490E-10
+1.700000E-02,-8.027509E-09,+0.000000E+00,-1.091382E-09
+1.800000E-02,-6.474149E-09,+0.000000E+00,-4.618554E-10
+1.900000E-02,-4.825286E-09,+0.000000E+00,+2.935967E-10
+2.000000E-02,-3.799773E-09,+0.000000E+00,+3.489925E-10
+2.100000E-02,-1.422009E-09,+0.000000E+00,-2.452754E-10
+2.200000E-02,+1.000728E-09,+0.000000E+00,+1.557703E-09
+2.300000E-02,-2.035284E-09,+0.000000E+00,+4.396037E-10
+2.400000E-02,-2.764205E-09,+0.000000E+00,+4.179623E-11
+2.500000E-02,-3.347340E-09,+0.000000E+00,+1.033944E-09
+2.600000E-02,-5.197284E-09,+0.000000E+00,-5.525084E-10
+2.700000E-02,-6.212748E-09,+0.000000E+00,+9.231087E-10
+2.800000E-02,-5.262637E-09,+0.000000E+00,+1.324186E-10
+2.900000E-02,-5.016316E-09,+0.000000E+00,-5.424329E-10
+3.000000E-02,-2.216257E-09,+0.000000E+00,+1.265534E-09
+3.100000E-02,-1.215925E-09,+0.000000E+00,+3.187839E-10
