VDD,IDD,VREF,IREF
+0.000000E+00,-9.999130E-05,+0.000000E+00,-1.270537E-05
+1.000000E-03,-9.566027E-07,+0.000000E+00,-9.419759E-11
+2.000000E-03,-5.392511E-07,+0.000000E+00,-8.915929E-11
+3.000000E-03,-3.837741E-07,+0.000000E+00,-1.898857E-10
+4.000000E-03,-3.011547E-07,+0.000000E+00,-1.697399E-10
+5.000000E-03,-2.487126E-07,+0.000000E+00,-2.150669E-10
+6.000000E-03,-2.118445E-07,+0.000000E+00,-6.397866E-11
+7.000000E-03,-1.870509E-07,+0.000000E+00,-9.923323E-11
+8.000000E-03,-1.674805E-07,+0.000000E+00,-1.697403E-10
+9.000000E-03,-1.529523E-07,+0.000000E+00,-1.193786E-10
+1.000000E-02,-1.406159E-07,+0.000000E+00,-1.361544E-11
+1.100000E-02,-1.311951E-07,+0.000000E+00,-1.596675E-10
+1.200000E-02,-1.227398E-07,+0.000000E+00,-1.848497E-10
+1.300000E-02,-1.141184E-07,+0.000000E+00,-1.798134E-10
+1.400000E-02,-1.066834E-07,+0.000000E+00,-9.923218E-11
+1.500000E-02,-9.959537E-08,+0.000000E+00,-1.042698E-10
+1.600000E-02,-9.336178E-08,+0.000000E+00,-1.093053E-10
+1.700000E-02,-8.676621E-08,+0.000000E+00,-1.848486E-10
+1.800000E-02,-8.097502E-08,+0.000000E+00,-1.647044E-10
+1.900000E-02,-7.556601E-08,+0.000000E+00,-1.193778E-10
+2.000000E-02,-7.215257E-08,+0.000000E+00,-1.244136E-10
+2.100000E-02,-7.066961E-08,+0.000000E+00,-7.908696E-11
+2.200000E-02,-6.974467E-08,+0.000000E+00,+6.529000E-12
+2.300000E-02,-6.673843E-08,+0.000000E+00,-1.445586E-10
+2.400000E-02,-6.599444E-08,+0.000000E+00,-8.915979E-11
+2.500000E-02,-6.352620E-08,+0.000000E+00,-6.397882E-11
+2.600000E-02,-6.258107E-08,+0.000000E+00,-1.697396E-10
+2.700000E-02,-6.099258E-08,+0.000000E+00,-5.390627E-11
+2.800000E-02,-5.727248E-08,+0.000000E+00,-8.412299E-11
+2.900000E-02,-5.493996E-08,+0.000000E+00,-7.405132E-11
+3.000000E-02,-5.203934E-08,+0.000000E+00,-2.368972E-11
+3.100000E-02,-4.815850E-08,+0.000000E+00,-2.368838E-11
+3.200000E-02,-4.545893E-08,+0.000000E+00,-1.294491E-10
+3.300000E-02,-4.381511E-08,+0.000000E+00,-8.580137E-12
+3.400000E-02,-4.426758E-08,+0.000000E+00,-1.596683E-10
+3.500000E-02,-4.353857E-08,+0.000000E+00,-1.647039E-10
+3.600000E-02,-4.372964E-08,+0.000000E+00,-6.901585E-11
+3.700000E-02,-4.273424E-08,+0.000000E+00,-9.419826E-11
+3.800000E-02,-4.140214E-08,+0.000000E+00,-7.405065E-11
+3.900000E-02,-4.238747E-08,+0.000000E+00,-1.294507E-10
+4.000000E-02,-4.252816E-08,+0.000000E+00,-1.042684E-10
+4.100000E-02,-3.867745E-08,+0.000000E+00,-2.251399E-10
+4.200000E-02,-3.854675E-08,+0.000000E+00,-3.376194E-11
+4.300000E-02,-3.699843E-08,+0.000000E+00,-1.244148E-10
+4.400000E-02,-3.385647E-08,+0.000000E+00,-1.244143E-10
+4.500000E-02,-3.342919E-08,+0.000000E+00,-4.383316E-11
+4.600000E-02,-3.056880E-08,+0.000000E+00,-3.376105E-11
+4.700000E-02,-2.943270E-08,+0.000000E+00,-2.049939E-10
+4.800000E-02,-2.941260E-08,+0.000000E+00,-1.596686E-10
+4.900000E-02,-3.107654E-08,+0.000000E+00,-1.495954E-10
+5.000000E-02,-3.004600E-08,+0.000000E+00,-6.901518E-11
+5.100000E-02,-2.920148E-08,+0.000000E+00,-1.445590E-10
