Load Current (Temp=27) X,Load Current (Temp=27) Y,Load Current (Temp=125) X,Load Current (Temp=125) Y,Load Current (Temp=-55) X,Load Current (Temp=-55) Y,Load Current (Temp=-180) X,Load Current (Temp=-180) Y
0,0.0002,0,0.0002,0,0.0002,0,0.0002
5e-09,0.0002,5e-09,0.0002,5e-09,0.0002,5e-09,0.0002
5.004490802355871e-09,0.0002,5.005237336969276e-09,0.0002,5.004807198829715e-09,0.0002,5.004651280001945e-09,0.0002
5.008125357513234e-09,0.0002,5.00934302400715e-09,0.0002,5.008495732299429e-09,0.0002,5.008187219675262e-09,0.0002
5.010122893312983e-09,0.0002,5.01149173758758e-09,0.0002,5.01051879553533e-09,0.0002,5.010223582284124e-09,0.0002
5.012183817257528e-09,0.0002,5.013702787607123e-09,0.0002,5.012603463328244e-09,0.0002,5.012319243691045e-09,0.0002
5.014549683427625e-09,0.0002,5.016261743308613e-09,0.0002,5.014981235045491e-09,0.0002,5.014685438174505e-09,0.0002
5.017095697145221e-09,0.0002,5.019192285280834e-09,0.0002,5.017483769058867e-09,0.0002,5.017045868495764e-09,0.0002
5.019872748680451e-09,0.0002,5.022380657552189e-09,0.0002,5.020226480751721e-09,0.0002,5.019637255345916e-09,0.0002
5.023066591441582e-09,0.0002,5.026034626804836e-09,0.0002,5.023398953738705e-09,0.0002,5.022643981851306e-09,0.0002
5.026811511611597e-09,0.0002,5.030228314360952e-09,0.0002,5.027150168097804e-09,0.0002,5.026219331695128e-09,0.0002
5.030815049202219e-09,0.0002,5.034498051119238e-09,0.0002,5.031163661602502e-09,0.0002,5.030362385824739e-09,0.0002
5.034970473687762e-09,0.0002,5.038982833811173e-09,0.0002,5.035327032187837e-09,0.0002,5.034602791560052e-09,0.0002
5.039389880248295e-09,0.0002,5.043800606923358e-09,0.0002,5.039756530254176e-09,0.0002,5.039061236890846e-09,0.0002
5.04416073169654e-09,0.0002,5.049034654278402e-09,0.0002,5.04453891508626e-09,0.0002,5.043848256518692e-09,0.0002
5.049377190558318e-09,0.0002,5.054795294753597e-09,0.0002,5.04977014626709e-09,0.0002,5.049043380655005e-09,0.0002
5.055144300396507e-09,0.0002,5.061184733648902e-09,0.0002,5.0555573559468e-09,0.0002,5.054754952328848e-09,0.0002
5.061565487543493e-09,0.0002,5.068315958549624e-09,0.0002,5.062006314665374e-09,0.0002,5.061089223135043e-09,0.0002
5.068762520194384e-09,0.0002,5.076323061521331e-09,0.0002,5.069240839564995e-09,0.0002,5.068154019017432e-09,0.0002
5.076882411563764e-09,0.0002,5.085378244512299e-09,0.0002,5.07741145857844e-09,0.0002,5.076090013142245e-09,0.0002
5.086113693784554e-09,0.0002,5.09570341156913e-09,0.0002,5.086713849637715e-09,0.0002,5.085056498975092e-09,0.0002
5.096701244591362e-09,0.0002,5.107597656048247e-09,0.0002,5.097402149095553e-09,0.0002,5.095272191186611e-09,0.0002
5.108967983320913e-09,0.0002,5.121481060490528e-09,0.0002,5.109775345049848e-09,0.0002,5.107028673310767e-09,0.0002
5.122585613688916e-09,0.0002,5.137965084039741e-09,0.0002,5.122484081177654e-09,0.0002,5.120711285081498e-09,0.0002
5.136357913221425e-09,0.0002,5.157099559525159e-09,0.0002,5.135839021179134e-09,0.0002,5.1362341849746e-09,0.0002
5.150604838991854e-09,0.0002,5.179570797496559e-09,0.0002,5.150200748901634e-09,0.0002,5.153942992126688e-09,0.0002
