"Output Voltage (VREF=0.6,Temp=27) X","Output Voltage (VREF=0.6,Temp=27) Y","Output Voltage (VREF=0.6,Temp=125) X","Output Voltage (VREF=0.6,Temp=125) Y","Output Voltage (VREF=0.6,Temp=-55) X","Output Voltage (VREF=0.6,Temp=-55) Y","Output Voltage (VREF=0.6,Temp=-180) X","Output Voltage (VREF=0.6,Temp=-180) Y","Output Voltage (VREF=0.7,Temp=27) X","Output Voltage (VREF=0.7,Temp=27) Y","Output Voltage (VREF=0.7,Temp=125) X","Output Voltage (VREF=0.7,Temp=125) Y","Output Voltage (VREF=0.7,Temp=-55) X","Output Voltage (VREF=0.7,Temp=-55) Y","Output Voltage (VREF=0.7,Temp=-180) X","Output Voltage (VREF=0.7,Temp=-180) Y","Output Voltage (VREF=0.8,Temp=27) X","Output Voltage (VREF=0.8,Temp=27) Y","Output Voltage (VREF=0.8,Temp=125) X","Output Voltage (VREF=0.8,Temp=125) Y","Output Voltage (VREF=0.8,Temp=-55) X","Output Voltage (VREF=0.8,Temp=-55) Y","Output Voltage (VREF=0.8,Temp=-180) X","Output Voltage (VREF=0.8,Temp=-180) Y","Output Voltage (VREF=0.9,Temp=27) X","Output Voltage (VREF=0.9,Temp=27) Y","Output Voltage (VREF=0.9,Temp=125) X","Output Voltage (VREF=0.9,Temp=125) Y","Output Voltage (VREF=0.9,Temp=-55) X","Output Voltage (VREF=0.9,Temp=-55) Y","Output Voltage (VREF=0.9,Temp=-180) X","Output Voltage (VREF=0.9,Temp=-180) Y","Output Voltage (VREF=1,Temp=27) X","Output Voltage (VREF=1,Temp=27) Y","Output Voltage (VREF=1,Temp=125) X","Output Voltage (VREF=1,Temp=125) Y","Output Voltage (VREF=1,Temp=-55) X","Output Voltage (VREF=1,Temp=-55) Y","Output Voltage (VREF=1,Temp=-180) X","Output Voltage (VREF=1,Temp=-180) Y"
0,-0.5098377403175617,0,-0.4830572954323958,0,1.199834414083847,0,-0.5135581648023695,0,-0.5083654455859965,0,-0.4811162145966078,0,1.199834414084256,0,-0.5131823730607552,0,-0.5063175617797001,0,-0.4789643978354799,0,1.199834414084608,0,-0.51258974722981,0,-0.5031050979596381,0,-0.4761656817357877,0,1.199834414084895,0,-0.5100096972810042,0,-0.4995124281419587,0,-0.4728255334163001,0,1.199834414085113,0,-0.5062006687799663
5e-09,-0.5098377390332247,5e-09,-0.483057295319808,5e-09,1.199834414083847,5e-09,-0.5135581648023695,5e-09,-0.5083654442859127,5e-09,-0.4811162144839492,5e-09,1.199834414084256,5e-09,-0.5131823730607553,5e-09,-0.5063175604667141,5e-09,-0.4789643977229317,5e-09,1.199834414084608,5e-09,-0.5125897472298099,5e-09,-0.5031050979596339,5e-09,-0.4761656816235603,5e-09,1.199834414084895,5e-09,-0.5100096972810042,5e-09,-0.4995124281419595,5e-09,-0.4728255333040524,5e-09,1.199834414085113,5e-09,-0.5062006687799664
5.004490455655247e-09,-0.5098385405444273,5.005237385023189e-09,-0.48305836668557,5.004807174929288e-09,1.199834197928617,5.004650007795743e-09,-0.513559133261926,5.004490587429039e-09,-0.5083662466025887,5.00523731695393e-09,-0.4811172893316471,5.004807010581253e-09,1.199834197416534,5.004650575207693e-09,-0.5131833343029445,5.004490802355887e-09,-0.5063183611309899,5.005237336969293e-09,-0.4789654733425142,5.004807198829715e-09,1.199834198041568,5.004651280001959e-09,-0.5125906929314424,5.004490836087787e-09,-0.5031058981886268,5.005237336508913e-09,-0.4761667572499924,5.004807331833903e-09,1.199834198537626,5.004651727790042e-09,-0.5100106383912208,5.004490847806098e-09,-0.4995132278743175,5.005237351462918e-09,-0.4728266082209919,5.004807420696285e-09,1.199834198905809,5.004651663520647e-09,-0.5062016100115093
5.008124766242662e-09,-0.5098396408335969,5.009343220835734e-09,-0.4830597496628706,5.008495728212048e-09,1.199833965206072,5.008184679093019e-09,-0.513560372404644,5.008124989485559e-09,-0.5083673477170008,5.009343044227721e-09,-0.4811186769310051,5.00849534730238e-09,1.199833964164144,5.008185869752121e-09,-0.5131845632057814,5.008125357513265e-09,-0.5063194592505063,5.009343024007185e-09,-0.4789668615319043,5.008495732299429e-09,1.199833965587571,5.008187219675288e-09,-0.5125918989296917,5.008125417317797e-09,-0.5031069955773798,5.009342985687421e-09,-0.4761681451559924,5.008496008844019e-09,1.19983396670942,5.008188114216249e-09,-0.5100118376968513,5.008125455907862e-09,-0.4995143246073034,5.009343023999658e-09,-0.4728279951563348,5.008496196082006e-09,1.199833967537772,5.008188017595241e-09,-0.5062028097444949
5.010122216929274e-09,-0.5098404899614057,5.011491897081707e-09,-0.4830607357560037,5.010518876141647e-09,1.199833812325607,5.010220978446128e-09,-0.5135613795797734,5.010122474459849e-09,-0.508368197263653,5.011491736447353e-09,-0.4811196664186121,5.01051841621195e-09,1.199833810943733,5.010222204871964e-09,-0.5131855610920359,5.010122893313014e-09,-0.5063203059652753,5.011491737587606e-09,-0.4789678512005988,5.010518795535332e-09,1.199833812977541,5.010223582284158e-09,-0.512592875739424,5.010122917568412e-09,-0.5031078416189748,5.011491692562789e-09,-0.4761691344451988,5.010519046454054e-09,1.199833814573811,5.010224564839343e-09,-0.5100128083472627,5.010122904130534e-09,-0.4995151701387128,5.011491694608991e-09,-0.472828983702596,5.010519201346193e-09,1.199833815748559,5.010224366364207e-09,-0.506203780925829
5.01218300069658e-09,-0.5098415853815912,5.013702902851468e-09,-0.4830619691457543,5.012603597880799e-09,1.199833642409337,5.012316347994836e-09,-0.513562695132571,5.012183320906186e-09,-0.5083692929180392,5.013702754647497e-09,-0.4811209040939874,5.01260306310339e-09,1.199833640663554,5.012317705253336e-09,-0.5131868634321062,5.01218381725757e-09,-0.5063213972660664,5.013702787607151e-09,-0.4789690887368664,5.012603463328243e-09,1.199833643458821,5.012319243691103e-09,-0.5125941473218698,5.01218381919393e-09,-0.5031089319461505,5.01370274594635e-09,-0.4761703712578406,5.012603712275134e-09,1.199833645639252,5.012320334988338e-09,-0.5100140709652395,5.012183765135104e-09,-0.4995162598701404,5.013702722231509e-09,-0.4728302195713049,5.012603852989449e-09,1.199833647235692,5.012320043144608e-09,-0.5062050446220838
5.014548782089429e-09,-0.5098431277520874,5.016261795675626e-09,-0.4830636678877276,5.014981433030653e-09,1.19983344561612,5.014682569803426e-09,-0.5135645465578726,5.014549128869775e-09,-0.5083708348887862,5.016261683865164e-09,-0.4811226087439145,5.014980841329077e-09,1.199833443472157,5.014683900582065e-09,-0.5131886939406878,5.014549683427648e-09,-0.5063229316212652,5.016261743308637e-09,-0.4789707923827348,5.014981235045539e-09,1.19983344728345,5.014685438174536e-09,-0.512595927843191,5.014549655884193e-09,-0.503110464720819,5.016261693184141e-09,-0.4761720733589359,5.014981449035697e-09,1.199833450229667,5.014686652610271e-09,-0.5100158370030106,5.014549540791948e-09,-0.4995177919584426,5.016261626971065e-09,-0.4728319203583524,5.014981547291294e-09,1.199833452369908,5.014686252443285e-09,-0.5062068130572827
5.017094410151173e-09,-0.5098451061733917,5.019192036985288e-09,-0.4830659184344441,5.017483719336708e-09,1.199833251132979,5.017042332217222e-09,-0.513566772934533,5.01709492294069e-09,-0.5083728116117596,5.019192031548997e-09,-0.4811248669843695,5.017483218811947e-09,1.199833248622326,5.017043784451473e-09,-0.513190892061096,5.017095697145194e-09,-0.5063248960978751,5.019192285280861e-09,-0.4789730477627082,5.017483769058967e-09,1.199833253604796,5.01704586849577e-09,-0.5125980563450103,5.017095777405042e-09,-0.5031124269483689,5.019192330993132e-09,-0.4761743256766135,5.017484107540602e-09,1.199833257408243,5.017047267438726e-09,-0.5100179452102442,5.017095714349694e-09,-0.4995197537580385,5.019192330839935e-09,-0.4728341710802901,5.017484292904273e-09,1.199833260141823,5.017046908521025e-09,-0.5062089258212727
5.019871083065414e-09,-0.5098475797451533,5.022380140325212e-09,-0.4830686299739209,5.020226217425469e-09,1.199833072487277,5.01963313931542e-09,-0.5135696112892364,5.019871734417695e-09,-0.5083752807584612,5.02238019917634e-09,-0.481127587190417,5.020225802188443e-09,1.199833069699966,5.019634570062857e-09,-0.5131936890680854,5.019872748680515e-09,-0.5063273455182379,5.022380657552373e-09,-0.4789757615508595,5.020226480751811e-09,1.199833076016715,5.019637255345974e-09,-0.5126007482640105,5.019872926385535e-09,-0.503114873022942,5.022380822078479e-09,-0.4761770338333453,5.020226914347756e-09,1.199833080764019,5.019638850736502e-09,-0.5100206063022689,5.01987286677371e-09,-0.4995221999585578,5.022380858545532e-09,-0.4728368774712554,5.020227149711095e-09,1.199833084131439,5.019638463337134e-09,-0.5062115954510146
5.023064406350781e-09,-0.5098507046613807,5.026033743353112e-09,-0.483071890084488,5.023398539068638e-09,1.199832933399287,5.022639279216066e-09,-0.5135733125602981,5.023065233877135e-09,-0.5083783958685585,5.026033900494e-09,-0.4811308563854992,5.023398119819153e-09,1.199832930501594,5.02264059280406e-09,-0.5131973270718571,5.023066591441742e-09,-0.5063304276956266,5.026034626805235e-09,-0.478979017595884,5.023398953738829e-09,1.19983293827854,5.022643981851458e-09,-0.5126042191640245,5.023066845020749e-09,-0.5031179500574843,5.026034955129877e-09,-0.47618027953282,5.023399439613561e-09,1.199832944006312,5.022645812268171e-09,-0.5100240275971658,5.023066723687024e-09,-0.4995252785166249,5.026034982262932e-09,-0.4728401214684851,5.023399671229336e-09,1.199832948000236,5.022645286032249e-09,-0.5062150334273322
