"Ref. Voltage (VREF=0.6,Temp=27) X","Ref. Voltage (VREF=0.6,Temp=27) Y","Ref. Voltage (VREF=0.6,Temp=125) X","Ref. Voltage (VREF=0.6,Temp=125) Y","Ref. Voltage (VREF=0.6,Temp=-55) X","Ref. Voltage (VREF=0.6,Temp=-55) Y","Ref. Voltage (VREF=0.6,Temp=-180) X","Ref. Voltage (VREF=0.6,Temp=-180) Y","Ref. Voltage (VREF=0.7,Temp=27) X","Ref. Voltage (VREF=0.7,Temp=27) Y","Ref. Voltage (VREF=0.7,Temp=125) X","Ref. Voltage (VREF=0.7,Temp=125) Y","Ref. Voltage (VREF=0.7,Temp=-55) X","Ref. Voltage (VREF=0.7,Temp=-55) Y","Ref. Voltage (VREF=0.7,Temp=-180) X","Ref. Voltage (VREF=0.7,Temp=-180) Y","Ref. Voltage (VREF=0.8,Temp=27) X","Ref. Voltage (VREF=0.8,Temp=27) Y","Ref. Voltage (VREF=0.8,Temp=125) X","Ref. Voltage (VREF=0.8,Temp=125) Y","Ref. Voltage (VREF=0.8,Temp=-55) X","Ref. Voltage (VREF=0.8,Temp=-55) Y","Ref. Voltage (VREF=0.8,Temp=-180) X","Ref. Voltage (VREF=0.8,Temp=-180) Y","Ref. Voltage (VREF=0.9,Temp=27) X","Ref. Voltage (VREF=0.9,Temp=27) Y","Ref. Voltage (VREF=0.9,Temp=125) X","Ref. Voltage (VREF=0.9,Temp=125) Y","Ref. Voltage (VREF=0.9,Temp=-55) X","Ref. Voltage (VREF=0.9,Temp=-55) Y","Ref. Voltage (VREF=0.9,Temp=-180) X","Ref. Voltage (VREF=0.9,Temp=-180) Y","Ref. Voltage (VREF=1,Temp=27) X","Ref. Voltage (VREF=1,Temp=27) Y","Ref. Voltage (VREF=1,Temp=125) X","Ref. Voltage (VREF=1,Temp=125) Y","Ref. Voltage (VREF=1,Temp=-55) X","Ref. Voltage (VREF=1,Temp=-55) Y","Ref. Voltage (VREF=1,Temp=-180) X","Ref. Voltage (VREF=1,Temp=-180) Y"
0,0.6,0,0.6,0,0.6,0,0.6,0,0.7,0,0.7,0,0.7,0,0.7,0,0.8,0,0.8,0,0.8,0,0.8,0,0.9,0,0.9,0,0.9,0,0.9,0,1,0,1,0,1,0,1
5e-09,0.6,5e-09,0.6,5e-09,0.6,5e-09,0.6,5e-09,0.7,5e-09,0.7,5e-09,0.7,5e-09,0.7,5e-09,0.8,5e-09,0.8,5e-09,0.8,5e-09,0.8,5e-09,0.9,5e-09,0.9,5e-09,0.9,5e-09,0.9,5e-09,1,5e-09,1,5e-09,1,5e-09,1
5.004490455655229e-09,0.6,5.005237385023172e-09,0.6,5.004807174929288e-09,0.6,5.004650007795727e-09,0.6,5.004490587429022e-09,0.7,5.005237316953912e-09,0.7,5.004807010581253e-09,0.7,5.004650575207678e-09,0.7,5.004490802355871e-09,0.8,5.005237336969276e-09,0.8,5.004807198829715e-09,0.8,5.004651280001945e-09,0.8,5.004490836087771e-09,0.9,5.005237336508896e-09,0.9,5.004807331833902e-09,0.9,5.004651727790028e-09,0.9,5.00449084780608e-09,1,5.005237351462901e-09,1,5.004807420696285e-09,1,5.004651663520633e-09,1
5.008124766242629e-09,0.6,5.009343220835699e-09,0.6,5.008495728212047e-09,0.6,5.008184679092989e-09,0.6,5.008124989485527e-09,0.7,5.009343044227684e-09,0.7,5.008495347302379e-09,0.7,5.008185869752093e-09,0.7,5.008125357513234e-09,0.8,5.00934302400715e-09,0.8,5.008495732299429e-09,0.8,5.008187219675262e-09,0.8,5.008125417317766e-09,0.9,5.009342985687386e-09,0.9,5.008496008844018e-09,0.9,5.008188114216223e-09,0.9,5.00812545590783e-09,1,5.009343023999622e-09,1,5.008496196082006e-09,1,5.008188017595213e-09,1
5.010122216929249e-09,0.6,5.011491897081693e-09,0.6,5.010518876141648e-09,0.6,5.010220978446089e-09,0.6,5.010122474459814e-09,0.7,5.011491736447318e-09,0.7,5.010518416211949e-09,0.7,5.010222204871924e-09,0.7,5.010122893312983e-09,0.8,5.01149173758758e-09,0.8,5.01051879553533e-09,0.8,5.010223582284124e-09,0.8,5.010122917568377e-09,0.9,5.011491692562768e-09,0.9,5.010519046454049e-09,0.9,5.010224564839305e-09,0.9,5.010122904130499e-09,1,5.011491694608956e-09,1,5.010519201346196e-09,1,5.010224366364175e-09,1
5.012183000696548e-09,0.6,5.01370290285147e-09,0.6,5.012603597880805e-09,0.6,5.012316347994775e-09,0.6,5.012183320906149e-09,0.7,5.013702754647438e-09,0.7,5.012603063103397e-09,0.7,5.01231770525327e-09,0.7,5.012183817257528e-09,0.8,5.013702787607123e-09,0.8,5.012603463328244e-09,0.8,5.012319243691045e-09,0.8,5.012183819193883e-09,0.9,5.013702745946321e-09,0.9,5.012603712275128e-09,0.9,5.012320334988279e-09,0.9,5.012183765135051e-09,1,5.013702722231454e-09,1,5.012603852989452e-09,1,5.01232004314455e-09,1
5.014548782089419e-09,0.6,5.016261795675583e-09,0.6,5.014981433030685e-09,0.6,5.014682569803398e-09,0.6,5.014549128869764e-09,0.7,5.016261683865156e-09,0.7,5.014980841329032e-09,0.7,5.014683900582017e-09,0.7,5.014549683427625e-09,0.8,5.016261743308613e-09,0.8,5.014981235045491e-09,0.8,5.014685438174505e-09,0.8,5.014549655884136e-09,0.9,5.016261693184156e-09,0.9,5.014981449035679e-09,0.9,5.014686652610247e-09,0.9,5.014549540791907e-09,1,5.016261626971001e-09,1,5.014981547291317e-09,1,5.014686252443236e-09,1
5.017094410151164e-09,0.6,5.019192036985004e-09,0.6,5.017483719336774e-09,0.6,5.017042332217194e-09,0.6,5.017094922940698e-09,0.7,5.019192031548913e-09,0.7,5.017483218811841e-09,0.7,5.017043784451427e-09,0.7,5.017095697145221e-09,0.8,5.019192285280834e-09,0.8,5.017483769058867e-09,0.8,5.017045868495764e-09,0.8,5.017095777404928e-09,0.9,5.019192330993147e-09,0.9,5.017484107540554e-09,0.9,5.017047267438728e-09,0.9,5.017095714349666e-09,1,5.019192330839637e-09,1,5.017484292904316e-09,1,5.017046908520961e-09,1
5.019871083065319e-09,0.6,5.022380140324921e-09,0.6,5.020226217425497e-09,0.6,5.019633139315307e-09,0.6,5.019871734417652e-09,0.7,5.02238019917621e-09,0.7,5.020225802188363e-09,0.7,5.019634570062765e-09,0.7,5.019872748680451e-09,0.8,5.022380657552189e-09,0.8,5.020226480751721e-09,0.8,5.019637255345916e-09,0.8,5.019872926385375e-09,0.9,5.022380822078319e-09,0.9,5.020226914347771e-09,0.9,5.019638850736443e-09,0.9,5.019872866773573e-09,1,5.022380858545172e-09,1,5.020227149711218e-09,1,5.019638463337082e-09,1
5.023064406350604e-09,0.6,5.026033743352546e-09,0.6,5.023398539068679e-09,0.6,5.02263927921594e-09,0.6,5.023065233876992e-09,0.7,5.026033900493572e-09,0.7,5.023398119819085e-09,0.7,5.022640592803886e-09,0.7,5.023066591441582e-09,0.8,5.026034626804836e-09,0.8,5.023398953738705e-09,0.8,5.022643981851306e-09,0.8,5.023066845020437e-09,0.9,5.026034955129569e-09,0.9,5.023399439613515e-09,0.9,5.022645812268042e-09,0.9,5.023066723686694e-09,1,5.026034982262347e-09,1,5.023399671229352e-09,1,5.022645286032071e-09,1
5.026808476658462e-09,0.6,5.03022729263213e-09,0.6,5.027149612870559e-09,0.6,5.026214134193216e-09,0.6,5.026809568965445e-09,0.7,5.030227488324241e-09,0.7,5.027149301605013e-09,0.7,5.026215442105051e-09,0.7,5.026811511611597e-09,0.8,5.030228314360952e-09,0.8,5.027150168097804e-09,0.8,5.026219331695128e-09,0.8,5.026811874545512e-09,0.9,5.03022873779294e-09,0.9,5.027150632147992e-09,0.9,5.026221952449969e-09,0.9,5.026811606789264e-09,1,5.030228842496998e-09,1,5.027150775597754e-09,1,5.026221139237922e-09,1
5.030811319773001e-09,0.6,5.034496771902907e-09,0.6,5.03116275587182e-09,0.6,5.03035580440092e-09,0.6,5.030812720785229e-09,0.7,5.034497023917523e-09,0.7,5.031162548165424e-09,0.7,5.030357025900012e-09,0.7,5.030815049202219e-09,0.8,5.034498051119238e-09,0.8,5.031163661602502e-09,0.8,5.030362385824739e-09,0.8,5.030815526675678e-09,0.9,5.034498535402433e-09,0.9,5.031164260984295e-09,0.9,5.030365475734074e-09,0.9,5.030815247151471e-09,1,5.034498663895423e-09,1,5.03116445582658e-09,1,5.030364532924261e-09,1
5.034966384456654e-09,0.6,5.03898148703606e-09,0.6,5.035326087720118e-09,0.6,5.034595209904367e-09,0.6,5.034967916636473e-09,0.7,5.038981737875736e-09,0.7,5.035325794747207e-09,0.7,5.034596966690148e-09,0.7,5.034970473687762e-09,0.8,5.038982833811173e-09,0.8,5.035327032187837e-09,0.8,5.034602791560052e-09,0.8,5.0349710201442e-09,0.9,5.038983343402324e-09,0.9,5.035327669959735e-09,0.9,5.034606366906456e-09,0.9,5.034970677927084e-09,1,5.038983468000135e-09,1,5.035327847266304e-09,1,5.034605244295224e-09,1
5.039385475326153e-09,0.6,5.043798770614677e-09,0.6,5.039755394366776e-09,0.6,5.039053781691137e-09,0.6,5.039387028566746e-09,0.7,5.0437991828194e-09,0.7,5.039755162126872e-09,0.7,5.039055687496927e-09,0.7,5.039389880248295e-09,0.8,5.043800606923358e-09,0.8,5.039756530254176e-09,0.8,5.039061236890846e-09,0.8,5.039390600079254e-09,0.9,5.043801368879816e-09,0.9,5.039757187110498e-09,0.9,5.039066539759045e-09,0.9,5.039390145654637e-09,1,5.043801467695222e-09,1,5.039757324203342e-09,1,5.039065137172434e-09,1
