TYPE,VREF,TEMP_C,DELTA_VOUT_V,SETTLING_TIME,FOM1,FOM2,IQ
Rising,0.6,125,-0.6615,1.333e-07,-6.497e-14,-13.92,0.0002806
Rising,0.6,27,-0.4937,9.91e-08,-3.931e-14,-8.424,0.0002275
Rising,0.6,-55,-0.3606,7.207e-08,-2.439e-14,-5.225,0.0001932
Rising,0.6,-180,-0.2477,3.784e-08,-9.745e-15,-2.088,0.0001124
Rising,0.7,125,-0.6687,1.423e-07,-6.565e-14,-14.07,0.0002805
Rising,0.7,27,-0.5042,9.73e-08,-4.013e-14,-8.599,0.0002274
Rising,0.7,-55,-0.3605,7.117e-08,-2.438e-14,-5.224,0.0001932
Rising,0.7,-180,-0.2547,4.234e-08,-1.001e-14,-2.146,0.0001123
Rising,0.8,125,-0.6756,1.441e-07,-6.628e-14,-14.2,0.0002803
Rising,0.8,27,-0.5145,1.009e-07,-4.091e-14,-8.767,0.0002272
Rising,0.8,-55,-0.3703,7.387e-08,-2.504e-14,-5.367,0.0001932
Rising,0.8,-180,-0.2455,4.324e-08,-9.648e-15,-2.068,0.0001123
Rising,0.9,125,-0.6819,1.64e-07,-6.672e-14,-14.3,0.0002796
Rising,0.9,27,-0.5241,1.135e-07,-4.161e-14,-8.915,0.0002268
Rising,0.9,-55,-0.3835,8.198e-08,-2.593e-14,-5.556,0.0001932
Rising,0.9,-180,-0.2366,4.595e-08,-9.292e-15,-1.991,0.0001122
Rising,1,125,-0.6864,2.234e-07,-6.638e-14,-14.22,0.0002763
Rising,1,27,-0.5328,1.532e-07,-4.188e-14,-8.975,0.0002246
Rising,1,-55,-0.3973,1.099e-07,-2.675e-14,-5.732,0.0001923
Rising,1,-180,-0.2321,7.027e-08,-9.082e-15,-1.946,0.0001118
Falling,0.6,125,0.6263,1.549e-07,6.151e-14,13.18,0.0002806
Falling,0.6,27,0.6186,1.61e-07,4.926e-14,10.55,0.0002275
Falling,0.6,-55,0.6109,1.911e-07,4.131e-14,8.852,0.0001932
Falling,0.6,-180,0.5973,2.394e-07,2.35e-14,5.035,0.0001124
Falling,0.7,125,0.5327,1.529e-07,5.229e-14,11.21,0.0002805
Falling,0.7,27,0.5269,1.63e-07,4.194e-14,8.986,0.0002274
Falling,0.7,-55,0.5241,1.952e-07,3.544e-14,7.595,0.0001932
Falling,0.7,-180,0.5217,2.455e-07,2.051e-14,4.396,0.0001123
Falling,0.8,125,0.4362,1.529e-07,4.28e-14,9.171,0.0002803
Falling,0.8,27,0.4297,1.69e-07,3.417e-14,7.322,0.0002272
Falling,0.8,-55,0.4267,2.012e-07,2.886e-14,6.184,0.0001932
Falling,0.8,-180,0.4256,2.535e-07,1.673e-14,3.584,0.0001123
Falling,0.9,125,0.342,1.569e-07,3.347e-14,7.171,0.0002796
Falling,0.9,27,0.3328,1.771e-07,2.641e-14,5.66,0.0002268
Falling,0.9,-55,0.3284,2.133e-07,2.221e-14,4.758,0.0001932
Falling,0.9,-180,0.3267,2.676e-07,1.283e-14,2.749,0.0001122
Falling,1,125,0.2632,1.67e-07,2.545e-14,5.453,0.0002763
Falling,1,27,0.2465,1.972e-07,1.938e-14,4.152,0.0002246
Falling,1,-55,0.2378,2.394e-07,1.601e-14,3.43,0.0001923
Falling,1,-180,0.231,3.058e-07,9.039e-15,1.937,0.0001118
