VIN,ITOT,VOUT,VDROP
3.3,-8.160917E-09,8.61639286e-06,0.000105432584
3.2,-9.471314E-09,1.10082991e-05,0.000108084591
3.1,-1.098329E-08,1.27310246e-05,0.000106811405
3.0,-9.471293E-09,1.22194609e-05,8.68768715e-05
2.9,-1.007612E-08,2.33134814e-05,7.35612368e-05
2.8,-1.108408E-08,2.37116716e-05,7.35250984e-05
2.7,-1.012652E-08,1.78577231e-05,8.66322419e-05
2.6,-8.412940E-09,-3.71367638e-06,9.66954146e-05
2.5,-9.874512E-09,-9.23579979e-07,0.000102007769
2.4,-1.143690E-08,1.35744135e-05,0.000107264526
2.3,-1.148730E-08,1.46113671e-05,9.19807348e-05
2.2,-1.123530E-08,2.22627018e-05,7.31192356e-05
2.1,-1.027770E-08,2.56860312e-05,7.10788022e-05
2.0,-1.063049E-08,2.35568199e-05,7.0072485e-05
1.9,-1.199130E-08,1.30047804e-05,8.75357035e-05
1.8,-1.325127E-08,-3.90171063e-06,9.73347875e-05
1.7,-1.249531E-08,-1.37983955e-06,0.000106516738
1.6,-1.340249E-08,1.22222261e-05,0.000107422979
1.5,-1.229370E-08,1.50538006e-05,9.87525273e-05
1.4,-1.143690E-08,1.15585758e-05,8.80833403e-05
1.3,-1.194090E-08,1.99178042e-05,7.42979056e-05
1.2,-1.093294E-08,2.42287658e-05,7.62688419e-05
