VIN,ITOT,VOUT,VDROP
3.3,+3.200400E-03,2.43064629,-0.975298021
3.2,+3.186371E-03,2.43110088,-0.975295038
3.1,+3.175659E-03,2.43132547,-0.975291136
3.0,+3.162554E-03,2.43141461,-0.975291808
2.9,+3.135650E-03,2.431425,-0.975288742
2.8,+3.030688E-03,2.43148517,-0.975338177
2.7,+2.933397E-03,2.43117821,-0.975289217
2.6,+2.828612E-03,2.41937487,-0.97528758
2.5,+2.723912E-03,1.6436821,-0.975564567
2.4,+2.618725E-03,1.5446585,-0.975557559
2.3,+2.513720E-03,1.4449706,-0.975599324
2.2,+2.408664E-03,1.34577435,-0.975624655
2.1,+2.303914E-03,1.24668318,-0.975656148
2.0,+2.198786E-03,1.1476039,-0.975715426
