VIN,ITOT,VOUT,VDROP
3.3,+3.218315E-03,1.59045185,-1.38226262
3.2,+3.193934E-03,1.59040942,-1.38226538
3.1,+3.181584E-03,1.59030196,-1.38224873
3.0,+3.170687E-03,1.59026807,-1.38224643
2.9,+3.160499E-03,1.59020642,-1.38227117
2.8,+3.150746E-03,1.59012138,-1.38225549
2.7,+3.140789E-03,1.59008853,-1.38226945
2.6,+3.130601E-03,1.59003974,-1.38222942
2.5,+3.115385E-03,1.58996353,-1.38226482
2.4,+3.070728E-03,1.58983121,-1.38223533
2.3,+2.981461E-03,1.51789801,-1.38226657
2.2,+2.881770E-03,1.41954558,-1.38229079
2.1,+2.778070E-03,1.3206933,-1.38232868
2.0,+2.674111E-03,1.22178843,-1.38234711
1.9,+2.569633E-03,1.12289696,-1.38236559
1.8,+2.465373E-03,1.02415488,-1.3823841
1.7,+2.360822E-03,0.925363702,-1.38245498
1.6,+2.256706E-03,0.826667426,-1.38246414
