VIN,ITOT,VOUT,VDROP
3.3,+3.228381E-03,1.19233948,-1.78632372
3.2,+3.201993E-03,1.192272,-1.78633541
3.1,+3.188697E-03,1.19212631,-1.78634071
3.0,+3.177707E-03,1.19204306,-1.78633576
2.9,+3.167397E-03,1.19196539,-1.78633813
2.8,+3.157235E-03,1.19193128,-1.78635853
2.7,+3.147434E-03,1.1918563,-1.78635055
2.6,+3.138003E-03,1.19175754,-1.78636094
2.5,+3.128660E-03,1.19170561,-1.78636988
2.4,+3.119237E-03,1.19166239,-1.7863754
2.3,+3.110040E-03,1.19165007,-1.78637058
2.2,+3.100400E-03,1.19159766,-1.78635455
2.1,+3.087230E-03,1.19158652,-1.78638813
2.0,+3.049231E-03,1.19124547,-1.78637784
1.9,+2.960077E-03,1.11259286,-1.78639478
1.8,+2.859020E-03,1.01408933,-1.78641397
1.7,+2.754840E-03,0.915154896,-1.78644955
1.6,+2.650159E-03,0.816220397,-1.78648509
1.5,+2.545675E-03,0.717261387,-1.78650512
1.4,+2.440915E-03,0.618334265,-1.7865506
1.3,+2.336309E-03,0.519306277,-1.78659951
1.2,+2.231591E-03,0.420440577,-1.78662037
