VIN,ITOT,VOUT,VDROP
3.3,+3.258925E-03,1.19311571,-1.78419077
3.2,+3.185260E-03,1.19298965,-1.78418039
3.1,+3.164469E-03,1.19285862,-1.78414902
3.0,+3.149929E-03,1.19273536,-1.78416349
2.9,+3.137199E-03,1.19265487,-1.78415583
2.8,+3.125874E-03,1.19257048,-1.78415843
2.7,+3.115139E-03,1.19246295,-1.78416036
2.6,+3.104699E-03,1.19238421,-1.78415493
2.5,+3.094320E-03,1.19235293,-1.78415267
2.4,+3.083941E-03,1.19226658,-1.78412957
2.3,+3.074156E-03,1.19220844,-1.78416467
2.2,+3.064054E-03,1.19215495,-1.78414028
2.1,+3.053662E-03,1.19212249,-1.78415602
2.0,+3.039405E-03,1.19199682,-1.78413644
1.9,+3.006382E-03,1.19128596,-1.78412928
1.8,+2.922327E-03,1.11761641,-1.78413007
1.7,+2.823852E-03,1.02063004,-1.78415062
1.6,+2.721707E-03,0.922277499,-1.78418442
1.5,+2.618798E-03,0.823617692,-1.78418309
1.4,+2.515550E-03,0.724905326,-1.78423751
1.3,+2.411956E-03,0.626050491,-1.78423694
1.2,+2.308597E-03,0.527235573,-1.78431002
