VIN,ITOT,VOUT,VDROP
3.3,+3.226706E-03,1.99100638,0.501009956
3.2,+3.210773E-03,1.99093432,0.500958456
3.1,+3.199622E-03,1.99091217,0.501002439
3.0,+3.187113E-03,1.99089236,0.500974768
2.9,+3.155755E-03,1.99116406,0.500990077
2.8,+3.041455E-03,1.96201031,0.500960355
2.7,+2.848906E-03,1.86433186,0.500960874
2.6,+2.647511E-03,1.76635906,0.500909661
2.5,+2.445220E-03,1.66850839,0.500921503
2.4,+2.242873E-03,1.57079961,0.500904593
2.3,+2.040780E-03,1.47320639,0.500885442
2.2,+1.839579E-03,1.37597408,0.500876541
2.1,+1.638733E-03,1.27895328,0.500837317
2.0,+1.438271E-03,1.18222611,0.500819387
