VIN,ITOT,VOUT,VDROP
3.3,+3.233424E-03,1.59216423,0.102809494
3.2,+3.209467E-03,1.59205051,0.102807409
3.1,+3.196912E-03,1.59194218,0.102809747
3.0,+3.185987E-03,1.59184693,0.102813745
2.9,+3.175940E-03,1.59180151,0.10280548
2.8,+3.165952E-03,1.5917006,0.102806837
2.7,+3.156167E-03,1.5916872,0.102792237
2.6,+3.145538E-03,1.59168841,0.102802923
2.5,+3.125838E-03,1.5916599,0.102786488
2.4,+3.057148E-03,1.58605923,0.102784992
2.3,+2.866602E-03,1.48914543,0.102780097
2.2,+2.667339E-03,1.39158121,0.102758367
2.1,+2.465576E-03,1.29388878,0.102730515
2.0,+2.263780E-03,1.19633036,0.102716015
1.9,+2.062548E-03,1.0989733,0.102684697
1.8,+1.861998E-03,1.00192407,0.102650527
1.7,+1.661616E-03,0.905108176,0.102643513
1.6,+1.462075E-03,0.808674607,0.102635076
