VIN,ITOT,VOUT,VDROP
3.3,+3.182152E-03,1.99502373,1.00977849
3.2,+3.171776E-03,1.99501011,1.00977974
3.1,+3.161195E-03,1.9950612,1.00979956
3.0,+3.137884E-03,1.99532145,1.00976675
2.9,+2.988647E-03,1.96634403,1.00973156
2.8,+2.696567E-03,1.86860746,1.00971335
2.7,+2.394763E-03,1.77069571,1.00975245
2.6,+2.093248E-03,1.6730025,1.00976752
2.5,+1.792030E-03,1.57554905,1.00975037
2.4,+1.492515E-03,1.47845782,1.00972903
2.3,+1.194220E-03,1.38186481,1.00976179
2.2,+8.993298E-04,1.28634274,1.00971997
2.1,+6.084359E-04,1.19228137,1.00976113
2.0,+3.283959E-04,1.10175643,1.00980923
