IL,ITOT,VOUT,VDROP
5e-05,+2.438221E-04,1.99922205,1.98225351
0.0001,+2.935413E-04,1.99915488,1.96575474
0.0003,+4.917567E-04,1.99911836,1.90011828
0.0005,+6.892740E-04,1.99908217,1.83451306
0.001,+1.184864E-03,1.9990434,1.6704526
0.002,+2.176136E-03,1.9990685,1.34258194
0.003,+3.166436E-03,1.99909768,1.01487484
0.004,+4.158156E-03,1.99908642,0.686986995
0.005,+5.149885E-03,1.99907441,0.359079856
0.006,+6.143570E-03,1.99907451,0.0305449791
0.007,+7.133035E-03,1.99906491,-0.296700938
0.008,+8.124162E-03,1.99906642,-0.624390743
0.009,+9.115535E-03,1.99910755,-0.951958739
0.01,+1.010620E-02,1.99912486,-1.27961529
