IL,ITOT,VOUT,VDROP
5e-05,+3.197567E-04,1.98953118,1.95697004
0.0001,+3.688243E-04,1.98952677,1.94061468
0.0003,+5.661862E-04,1.9894305,1.87548848
0.0005,+7.627782E-04,1.98938199,1.81036469
0.001,+1.255595E-03,1.98934813,1.6474619
0.002,+2.241396E-03,1.98930363,1.32165089
0.003,+3.226565E-03,1.98930667,0.996074263
0.004,+4.212221E-03,1.98926881,0.670272286
0.005,+5.197991E-03,1.98926056,0.344485877
0.006,+6.185472E-03,1.98925758,0.0181233683
0.007,+7.168873E-03,1.98931784,-0.306817912
0.008,+8.153748E-03,1.98928674,-0.632435403
0.009,+9.139117E-03,1.98929544,-0.95807159
0.01,+1.012473E-02,1.98932604,-1.28379638
