VIN,ITOT,VOUT,VDROP
3.3,+3.211441E-03,1.98894132,1.00265048
3.2,+3.197540E-03,1.98880183,1.00264684
3.1,+3.185961E-03,1.98868708,1.00260856
3.0,+3.175284E-03,1.98861327,1.00262775
2.9,+3.161398E-03,1.98857329,1.00263594
2.8,+3.133984E-03,1.98856667,1.0026278
2.7,+3.069977E-03,1.98810818,1.00262589
2.6,+2.792110E-03,1.8965636,1.00260186
2.5,+2.503590E-03,1.802223,1.00263635
2.4,+2.212814E-03,1.70780766,1.00264808
2.3,+1.922819E-03,1.61381372,1.00262721
2.2,+1.635438E-03,1.52074052,1.00262077
2.1,+1.350690E-03,1.42860311,1.00264261
2.0,+1.070017E-03,1.33786123,1.00262753
