V Input,V Output
0.0,1.184815
0.01,1.18482688
0.02,1.18472807
0.03,1.18481105
0.04,1.18485453
0.05,1.18478735
0.06,1.18475968
0.07,1.18482686
0.08,1.18478735
0.09,1.1847913
0.1,1.18468856
0.11,1.18483872
0.12,1.18488615
0.13,1.18474388
0.14,1.18477549
0.15,1.18466879
0.16,1.18476363
0.17,1.18476758
0.18,1.18475177
0.19,1.18478341
0.2,1.18477155
0.21,1.18475966
0.22,1.18464112
0.23,1.18464903
0.24,1.18477944
0.25,1.18469643
0.26,1.18466089
0.27,1.18456208
0.28,1.18464509
0.29,1.18461345
0.3,1.18459766
0.31,1.18459372
0.32,1.1845621
0.33,1.18443167
0.34,1.18428149
0.35000000000000003,1.18412738
0.36,1.18405229
0.37,1.18391794
0.38,1.18361362
0.39,1.1833212
0.4,1.18309198
0.41000000000000003,1.1825229
0.42,1.18189852
0.43,1.18116742
0.44,1.18024662
0.45,1.17908869
0.46,1.17749213
0.47000000000000003,1.17570191
0.48,1.17378919
0.49,1.17129949
0.5,1.168055
0.51,1.16470772
0.52,1.16016303
0.53,1.15470546
0.54,1.14841402
0.55,1.14060507
0.56,1.13064626
0.5700000000000001,1.11771958
0.58,1.10137055
0.59,1.07545398
0.6,1.02577461
0.61,0.233299331
0.62,0.433577841
0.63,0.296968453
0.64,0.193361389
0.65,0.135015492
0.66,0.100053008
0.67,0.0786731837
0.68,0.0644305298
0.6900000000000001,0.0538157214
0.7000000000000001,0.0459079747
0.71,0.0395730675
0.72,0.0348702842
0.73,0.0309776801
0.74,0.0276580698
0.75,0.025069601
0.76,0.0226905281
0.77,0.0208924369
0.78,0.0192721266
0.79,0.0179561538
0.8,0.0168180099
0.81,0.0158853642
0.8200000000000001,0.0151305475
0.8300000000000001,0.0144152618
0.84,0.0138619974
0.85,0.0134272776
0.86,0.013024173
0.87,0.0127159377
0.88,0.0124630169
0.89,0.0122377652
0.9,0.0120203813
0.91,0.0119374217
0.92,0.0119058066
0.93,0.0117279536
0.9400000000000001,0.0116370782
0.9500000000000001,0.0116528617
0.96,0.0115699021
0.97,0.0114908403
0.98,0.0115422088
0.99,0.0114315559
1.0,0.0114829485
1.01,0.0114631711
1.02,0.0114078326
1.03,0.0114513094
1.04,0.0114710869
1.05,0.0113920491
1.06,0.0114829245
1.07,0.0114513334
1.08,0.0113604099
1.09,0.0114355259
1.1,0.0114157484
1.11,0.0113920491
1.12,0.0114513094
1.1300000000000001,0.0114473876
1.1400000000000001,0.0114592252
1.1500000000000001,0.0114118025
1.16,0.0114355259
1.17,0.0114197183
1.18,0.0114552793
1.19,0.0114394718
1.2,0.0114710869
