IL,ITOT,VOUT,VDROP
0.0001,+3.571325E-03,1.58981843,0.766008014
0.0003,+3.759672E-03,1.58978284,0.713381871
0.0005,+3.958161E-03,1.58999992,0.660782482
0.001,+4.454660E-03,1.58998604,0.529235589
0.002,+5.451748E-03,1.59011168,0.266446366
0.003,+6.452600E-03,1.5899677,0.00257583308
0.004,+7.450345E-03,1.59012773,-0.260293752
0.005,+8.445100E-03,1.59048124,-0.522592119
0.006,+9.441215E-03,1.59054335,-0.785345935
0.007,+1.043889E-02,1.59049034,-1.04835294
0.008,+1.049990E-02,1.49818757,-1.31129848
0.009,+1.049989E-02,1.25009716,-1.5742611
0.01,+1.049989E-02,1.00342824,-1.83711754
