IL,ITOT,VOUT,VDROP
0.0001,+2.646659E-03,0.997075987,0.46469593
0.0003,+2.821528E-03,0.997350144,0.412053574
0.0005,+3.015885E-03,0.997199282,0.359436899
0.001,+3.513619E-03,0.996891354,0.227098904
0.002,+4.506805E-03,0.996793142,-0.0359876652
0.003,+5.496605E-03,0.996605799,-0.298207175
0.004,+6.487521E-03,0.996547959,-0.561351607
0.005,+7.480972E-03,0.996487202,-0.824471686
0.006,+8.473082E-03,0.996549466,-1.08759502
0.007,+9.464459E-03,0.996561561,-1.35051758
0.008,+1.045599E-02,0.99647469,-1.61366581
0.009,+1.049985E-02,0.994886876,-1.87678942
0.01,+1.049982E-02,0.73939834,-2.13995836
