IL,ITOT,VOUT,VDROP
0.0001,+3.302420E-03,1.29453653,0.616064959
0.0003,+3.496608E-03,1.29465363,0.564327535
0.0005,+3.691779E-03,1.29433188,0.512582618
0.001,+4.180132E-03,1.2947092,0.383278195
0.002,+5.159723E-03,1.29480405,0.123996101
0.003,+6.136493E-03,1.2947949,-0.134542388
0.004,+7.109644E-03,1.29464429,-0.392460999
0.005,+8.087833E-03,1.29460269,-0.651125592
0.006,+9.064369E-03,1.29474901,-0.90941291
0.007,+1.004093E-02,1.2951718,-1.16796716
0.008,+1.049992E-02,1.29191166,-1.4265477
0.009,+1.049991E-02,1.11458206,-1.685056
0.01,+1.049990E-02,0.890757174,-1.94355858
