VIN,ITOT,VOUT,VDROP
1.8,+6.140075E-03,1.29484367,-0.134622345
1.775,+6.120211E-03,1.29449495,-0.134581134
1.75,+6.102702E-03,1.29428699,-0.134578626
1.725,+6.085805E-03,1.29395773,-0.134564207
1.7,+6.066356E-03,1.29294806,-0.134562347
1.675,+6.049399E-03,1.2932839,-0.134545665
1.65,+6.032744E-03,1.29279604,-0.134561285
1.625,+6.014261E-03,1.29252946,-0.134553243
1.6,+5.996923E-03,1.29228266,-0.134555781
1.575,+5.977930E-03,1.29168239,-0.134564855
1.55,+5.960749E-03,1.29147345,-0.134542532
1.525,+5.940272E-03,1.29079194,-0.134550552
1.5,+5.924205E-03,1.29085587,-0.134555086
1.475,+5.904370E-03,1.29061539,-0.134524366
1.45,+5.883885E-03,1.29021421,-0.134525041
1.425,+5.863398E-03,1.28976555,-0.134544548
1.4,+5.840418E-03,1.28908258,-0.134539483
1.375,+5.815160E-03,1.28850519,-0.134535099
1.35,+5.785740E-03,1.28686861,-0.134543183
1.325,+5.760818E-03,1.28695489,-0.134526817
1.3,+5.733361E-03,1.28621369,-0.134522589
1.275,+5.603230E-03,1.26467839,-0.134538151
1.25,+5.453513E-03,1.23969869,-0.134551511
1.225,+5.310061E-03,1.21473598,-0.134539524
1.2,+5.173561E-03,1.18978669,-0.134531307
1.175,+5.043642E-03,1.16473637,-0.134523262
1.15,+4.920975E-03,1.13975679,-0.134535466
1.125,+4.805061E-03,1.11469581,-0.134532319
1.1,+4.695303E-03,1.08966766,-0.134529169
1.075,+4.589847E-03,1.06463138,-0.13451984
1.05,+4.487227E-03,1.03957289,-0.13449568
1.025,+4.387090E-03,1.01447978,-0.134505229
1.0,+4.288587E-03,0.989403423,-0.134504751
