VIN,ITOT,VOUT,VDROP
1.8,+5.171136E-03,0.702943046,-0.0108108998
1.775,+5.096537E-03,0.702398355,-0.0108085397
1.75,+5.074610E-03,0.701955199,-0.0108150419
1.725,+5.056493E-03,0.701588851,-0.0108175993
1.7,+5.040927E-03,0.7010567,-0.0108207684
1.675,+5.027244E-03,0.701073493,-0.0108157118
1.65,+5.012511E-03,0.700823338,-0.0108077447
1.625,+4.997226E-03,0.700618055,-0.0108122258
1.6,+4.983140E-03,0.700355357,-0.0108155339
1.575,+4.967863E-03,0.699853798,-0.0108085397
1.55,+4.953453E-03,0.699513237,-0.0108024684
1.525,+4.939164E-03,0.699297227,-0.0108075223
1.5,+4.925086E-03,0.699177029,-0.0108138382
1.475,+4.911329E-03,0.699022097,-0.0108158953
1.45,+4.896254E-03,0.698941364,-0.0108205015
1.425,+4.882328E-03,0.698617417,-0.0108047285
1.4,+4.868313E-03,0.698421814,-0.0108235344
1.375,+4.853348E-03,0.698124256,-0.0108180247
1.35,+4.838966E-03,0.6984102,-0.0108242794
1.325,+4.825594E-03,0.698166854,-0.0108227588
1.3,+4.811403E-03,0.698269429,-0.0108182721
1.275,+4.797781E-03,0.697987016,-0.0108205905
1.25,+4.782767E-03,0.698069062,-0.0108131488
1.225,+4.767690E-03,0.697710633,-0.0108369557
1.2,+4.754269E-03,0.697654239,-0.0108213216
1.175,+4.739514E-03,0.6974355,-0.0108143608
1.15,+4.725320E-03,0.69744251,-0.010815356
1.125,+4.710616E-03,0.697399428,-0.0108269397
1.1,+4.695185E-03,0.697529614,-0.0108034831
1.075,+4.681181E-03,0.697198607,-0.0108158313
1.05,+4.666183E-03,0.697157439,-0.0108248409
1.025,+4.650964E-03,0.697032346,-0.0108149974
1.0,+4.636300E-03,0.69695327,-0.0108250216
