VIN,ITOT,VOUT,VDROP
1.8,+5.932578E-03,1.10139897,-0.0107574594
1.775,+5.863078E-03,1.10114572,-0.01076926
1.75,+5.837889E-03,1.10047419,-0.0107613512
1.725,+5.822213E-03,1.10053397,-0.0107489474
1.7,+5.804428E-03,1.09986005,-0.0107582989
1.675,+5.788182E-03,1.09986125,-0.0107543515
1.65,+5.773823E-03,1.09970606,-0.0107447025
1.625,+5.759073E-03,1.09950774,-0.0107572703
1.6,+5.743691E-03,1.09902979,-0.0107548685
1.575,+5.728834E-03,1.09885143,-0.0107619016
1.55,+5.714036E-03,1.09862024,-0.0107610176
1.525,+5.698993E-03,1.0984965,-0.0107649845
1.5,+5.685368E-03,1.09861745,-0.0107628968
1.475,+5.669185E-03,1.09824659,-0.0107585102
1.45,+5.654897E-03,1.0983363,-0.0107542375
1.425,+5.640456E-03,1.09827623,-0.0107577513
1.4,+5.624510E-03,1.09786481,-0.0107621157
1.375,+5.610432E-03,1.09777776,-0.0107632415
1.35,+5.595463E-03,1.0976062,-0.0107650763
1.325,+5.581725E-03,1.09760879,-0.0107430068
1.3,+5.564957E-03,1.09766674,-0.0107543459
1.275,+5.549904E-03,1.09758727,-0.0107506542
1.25,+5.533245E-03,1.09744452,-0.0107474296
1.225,+5.517326E-03,1.09737765,-0.0107641005
1.2,+5.500330E-03,1.09731517,-0.0107626105
1.175,+5.482114E-03,1.09714455,-0.0107534174
1.15,+5.464233E-03,1.09701394,-0.0107616959
1.125,+5.445600E-03,1.09667479,-0.01076556
1.1,+5.358662E-03,1.08158608,-0.0107762625
1.075,+5.221426E-03,1.05680605,-0.0107655155
1.05,+5.086493E-03,1.03191421,-0.0107754869
1.025,+4.954310E-03,1.00692907,-0.0107794204
1.0,+4.825809E-03,0.981987761,-0.0107751005
