VIN,ITOT,VOUT,VDROP
1.8,+7.002148E-03,1.69256509,0.0519220077
1.775,+6.986035E-03,1.69241898,0.0519357069
1.75,+6.971077E-03,1.69228126,0.0519162283
1.725,+6.958646E-03,1.69206197,0.0519304085
1.7,+6.921210E-03,1.68463768,0.051921966
1.675,+6.759152E-03,1.65978329,0.0519248571
1.65,+6.597442E-03,1.63490507,0.0519302334
1.625,+6.437299E-03,1.60999193,0.0519251712
1.6,+6.281384E-03,1.58508803,0.0519326129
1.575,+6.129137E-03,1.56017711,0.0519453531
1.55,+5.981754E-03,1.53524845,0.0519393736
1.525,+5.840196E-03,1.51033945,0.0519348035
1.5,+5.704117E-03,1.48541205,0.0519364909
1.475,+5.574293E-03,1.46050096,0.0519284876
1.45,+5.449614E-03,1.43556083,0.0519349508
1.425,+5.330082E-03,1.41063826,0.0519333385
1.4,+5.215039E-03,1.38568864,0.0519271977
1.375,+5.103830E-03,1.36076776,0.0519357264
1.35,+4.995700E-03,1.33579796,0.0519228083
1.325,+4.890142E-03,1.31087651,0.0519424148
1.3,+4.786410E-03,1.28591566,0.0519545879
1.275,+4.684336E-03,1.26097145,0.051934064
1.25,+4.583255E-03,1.23600326,0.0519289852
1.225,+4.483033E-03,1.21106943,0.0519295717
1.2,+4.383415E-03,1.18610372,0.0519312119
1.175,+4.284085E-03,1.16113368,0.051944622
1.15,+4.185125E-03,1.13618693,0.0519538401
1.125,+4.086210E-03,1.11120744,0.051964412
1.1,+3.987644E-03,1.08622907,0.0519556026
1.075,+3.889030E-03,1.0612367,0.0519576736
1.05,+3.790649E-03,1.0362573,0.0519662801
1.025,+3.692175E-03,1.01123426,0.0519393291
1.0,+3.593916E-03,0.986255176,0.0519523696
